algorithm,test-number,p,search-depth,max-radius,run-time,rand-index,silhouette-coefficient
ff,1,1,None,17.664,0.005994081497192383,0.0691930177090994,0.05167510598363432
ff,2,1,None,17.623,0.006003856658935547,0.06927306117456117,0.11081095742378565
ff,3,1,None,17.071,0.005999565124511719,0.0881736857135893,0.11816367035910699
ff,4,1,None,17.839,0.004999399185180664,0.1679393307045904,0.09389848525405313
ff,5,1,None,17.402,0.0070002079010009766,0.19835369764860164,0.15228231895031502
ff,6,1,None,16.58,0.00599980354309082,0.19580688107609331,0.1298091593953108
ff,7,1,None,15.94,0.004999399185180664,0.06434833014020777,0.10770433083604898
ff,8,1,None,18.246,0.004999876022338867,0.1014898413082151,0.11730823390885811
ff,9,1,None,17.565,0.004998445510864258,0.17642667426641803,0.1240239476996565
ff,10,1,None,18.029,0.011005401611328125,0.09736267157182747,0.11679079410440897
ff,11,1,None,16.518,0.010004758834838867,0.05087383984273942,0.08914810105169874
ff,12,1,None,17.799,0.005991458892822266,0.05983882555746568,0.08883866207646973
ff,13,1,None,17.106,0.006000041961669922,0.10258977562829105,0.11301630185645598
ff,14,1,None,17.646,0.00599980354309082,0.07144186180575533,0.10143709526471005
ff,15,1,None,17.269,0.0049991607666015625,0.1477984291898791,0.09522869188091435
ff,16,1,None,17.582,0.00599980354309082,0.11872197121821987,0.11183082487947316
ff,17,1,None,16.805,0.0060007572174072266,0.062434800707439626,0.08235594648544034
ff,18,1,None,17.688,0.011995792388916016,0.17758370344346627,0.13400381617807045
ff,19,1,None,17.106,0.0049932003021240234,0.10258977562829105,0.11301630185645598
ff,20,1,None,16.403,0.0070035457611083984,0.07593707801201029,0.10432898798914858
ff,21,1,None,16.307,0.006000995635986328,0.09846968121279083,0.10185349916469585
ff,22,1,None,16.618,0.005987882614135742,0.12751135027268207,0.13205058814016102
ff,23,1,None,16.917,0.006988525390625,0.10803403147922677,0.11948845129815927
ff,24,1,None,17.532,0.015001773834228516,0.15884020650304564,0.13061167547895666
ff,25,1,None,17.61,0.005999565124511719,0.17217097533169992,0.13568543628251867
ff,26,1,None,18.075,0.01000213623046875,0.217115817518681,0.12344702800032281
ff,27,1,None,17.214,0.008002996444702148,0.07972430077183118,0.08802915921060635
ff,28,1,None,17.447,0.004998207092285156,0.1415226523900585,0.11285823681278175
ff,29,1,None,15.935,0.007989645004272461,0.07050753139242344,0.09729714711135326
ff,30,1,None,17.59,0.00599217414855957,0.12318044794607635,0.11478431824131198
bs,1,1,2,17.534,0.005156278610229492,0.08953446528140595,0.10441887168894431
bs,2,1,2,18.221,0.004999876022338867,0.06140769357416126,0.08890493751939543
bs,3,1,2,15.827,0.008995294570922852,0.16308581270280745,0.14088139967181443
bs,4,1,2,15.585,0.009210348129272461,0.12934281342047904,0.07989335571301542
bs,5,1,2,16.58,0.004000186920166016,0.17330551221949056,0.14874065295954544
bs,6,1,2,22.942,0.004141330718994141,0.13974349581927353,0.09926797652103306
bs,7,1,2,20.341,0.005190849304199219,0.21386900111531443,0.11666339119099703
bs,8,1,2,15.927,0.011001825332641602,0.1746578092248815,0.13864606508474528
bs,9,1,2,16.642,0.0041904449462890625,0.19653647191447227,0.13376300291680404
bs,10,1,2,15.941,0.00816965103149414,0.11163804370198672,0.12161039552317247
bs,11,1,2,15.166,0.008999824523925781,0.19462999666979086,0.15661911353443198
bs,12,1,2,20.873,0.003999948501586914,0.14450183534450042,0.08367230747336327
bs,13,1,2,21.215,0.00400543212890625,0.24040184569846126,0.12756651140241845
bs,14,1,2,20.775,0.005015373229980469,0.18409560335101016,0.09752550270835443
bs,15,1,2,15.666,0.008219242095947266,0.0932844413390221,0.07495519214295147
bs,16,1,2,15.867,0.01127481460571289,0.11073281662321094,0.1283894449860579
bs,17,1,2,22.499,0.007193088531494141,0.16070475321846134,0.11078856617966501
bs,18,1,2,15.77,0.011211872100830078,0.148725913052097,0.12910531593174654
bs,19,1,2,17.69,0.004997730255126953,0.22112709656609209,0.13172743468173434
bs,20,1,2,18.432,0.004998922348022461,0.2911972923747925,0.1317797540707052
bs,21,1,2,23.193,0.005140066146850586,0.21211272521826827,0.10604006667540491
bs,22,1,2,15.875,0.009164810180664062,0.18859035837470522,0.11737514823985964
bs,23,1,2,16.273,0.0039997100830078125,0.1410718704144335,0.13403310399744595
bs,24,1,2,15.257,0.00921940803527832,0.15830509398984471,0.14299428867685116
bs,25,1,2,23.956,0.006160259246826172,0.21094460706837376,0.10527606121442613
bs,26,1,2,15.516,0.010177135467529297,0.1655306245259123,0.1414180905411915
bs,27,1,2,22.8,0.0041675567626953125,0.22585428839813743,0.08417472356171357
bs,28,1,2,21.481,0.004001140594482422,0.10894973798425421,0.0664919317608501
bs,29,1,2,19.57,0.004266977310180664,0.0804306201013098,0.08984961555891893
bs,30,1,2,22.206,0.003997087478637695,0.19708274503913756,0.07044912802251418
bs,1,1,3,18.716,0.004999637603759766,0.09644979213132668,0.09817213652106926
