algorithm,test-number,p,search-depth,max-radius,run-time,rand-index,silhouette-coefficient
ff,1,1,None,1.08,0.015186309814453125,-0.0022690918699613113,0.07984810049906793
ff,2,1,None,0.99,0.01560068130493164,0.12103775052412614,0.2164489244329207
ff,3,1,None,0.99,0.01899862289428711,0.10667093712793749,0.21094591209889077
ff,4,1,None,1.07,0.02319169044494629,0.08281937250987559,0.17989226306425196
ff,5,1,None,1.07,0.02536177635192871,0.09954839376529653,0.12222710062681036
ff,6,1,None,1.16,0.029536724090576172,0.055535180755187374,0.08140718584080574
ff,7,1,None,1.07,0.02674078941345215,0.15740746565106195,0.1787951296071248
ff,8,1,None,1.08,0.023261308670043945,0.15668714812276224,0.17503385697262744
ff,9,1,None,1.22,0.025490760803222656,0.06009227809061513,0.10386866306229921
ff,10,1,None,1.08,0.029332876205444336,0.10631435142944524,0.19899077393636172
ff,11,1,None,1.06,0.06675839424133301,0.09896008220414101,0.20050416636271678
ff,12,1,None,1.1,0.026580810546875,0.09861061358798064,0.19531967621169022
ff,13,1,None,1.08,0.022425413131713867,0.10656040164392294,0.09732622936802522
ff,14,1,None,0.99,0.021231412887573242,0.1044581766196842,0.2034116938733218
ff,15,1,None,1.08,0.0146484375,0.10398042642094175,0.13965153435759378
ff,16,1,None,1.16,0.020544052124023438,0.06258476922683842,0.11791312547669368
ff,17,1,None,1.02,0.022219419479370117,0.04359545679778386,0.15624636750204632
ff,18,1,None,1.05,0.03200054168701172,0.031159362768016608,0.13912431744118564
ff,19,1,None,1.03,0.031142473220825195,0.08062169862255869,0.20366829009541268
ff,20,1,None,1.09,0.025182723999023438,0.09455613209712133,0.13881728898445417
ff,21,1,None,1.02,0.024161338806152344,0.11806324259202347,0.11216526807950357
ff,22,1,None,1.19,0.024219512939453125,0.15765716504392766,0.08636687410300273
ff,23,1,None,1.05,0.02299785614013672,0.10771996323472864,0.16850937473407437
ff,24,1,None,1.13,0.014987707138061523,0.06694606166967114,0.09774625092845228
ff,25,1,None,1.14,0.014142036437988281,0.040722481491012805,0.12452350357771556
ff,26,1,None,1.14,0.013243913650512695,-0.022086439686613023,0.07875711089142648
ff,27,1,None,1.09,0.01820540428161621,0.012612352159575041,0.12115005187616797
ff,28,1,None,1.09,0.015247821807861328,0.04032722602209494,0.11203616772642938
