{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 21.0, 'temperature': 40.0, 'experiment': 1.0, 'time': 1522084757.406089}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 21.0, 'temperature': 40.0, 'experiment': 1.0, 'time': 1522084771.261505}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 21.0, 'temperature': 40.0, 'experiment': 1.0, 'time': 1522084777.501454}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 21.0, 'temperature': 40.0, 'experiment': 1.0, 'time': 1522084783.741481}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 22.0, 'temperature': 40.0, 'experiment': 1.0, 'time': 1522084789.996507}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 22.0, 'temperature': 40.0, 'experiment': 1.0, 'time': 1522084796.221479}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 22.0, 'temperature': 39.0, 'experiment': 1.0, 'time': 1522084804.990622}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 23.0, 'temperature': 39.0, 'experiment': 1.0, 'time': 1522084816.283217}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 23.0, 'temperature': 39.0, 'experiment': 1.0, 'time': 1522084826.243098}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 24.0, 'temperature': 38.0, 'experiment': 1.0, 'time': 1522084864.116478}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 24.0, 'temperature': 38.0, 'experiment': 1.0, 'time': 1522084868.782779}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 24.0, 'temperature': 38.0, 'experiment': 1.0, 'time': 1522084875.422619}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 25.0, 'temperature': 38.0, 'experiment': 1.0, 'time': 1522084887.121274}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 25.0, 'temperature': 38.0, 'experiment': 1.0, 'time': 1522084893.793269}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 25.0, 'temperature': 38.0, 'experiment': 1.0, 'time': 1522084897.982014}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 25.0, 'temperature': 38.0, 'experiment': 1.0, 'time': 1522084907.149051}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 25.0, 'temperature': 38.0, 'experiment': 1.0, 'time': 1522084913.822176}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 25.0, 'temperature': 38.0, 'experiment': 1.0, 'time': 1522084920.459411}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 25.0, 'temperature': 38.0, 'experiment': 1.0, 'time': 1522084932.158467}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 26.0, 'temperature': 38.0, 'experiment': 1.0, 'time': 1522084936.859021}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 26.0, 'temperature': 38.0, 'experiment': 1.0, 'time': 1522084946.028896}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 25.0, 'temperature': 37.0, 'experiment': 1.0, 'time': 1522084957.753826}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 25.0, 'temperature': 37.0, 'experiment': 1.0, 'time': 1522084966.509503}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 25.0, 'temperature': 37.0, 'experiment': 1.0, 'time': 1522084978.236718}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 26.0, 'temperature': 37.0, 'experiment': 1.0, 'time': 1522084984.888908}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 26.0, 'temperature': 37.0, 'experiment': 1.0, 'time': 1522084991.103022}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 26.0, 'temperature': 37.0, 'experiment': 1.0, 'time': 1522084997.341314}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 26.0, 'temperature': 37.0, 'experiment': 1.0, 'time': 1522085006.108859}
