algorithm,test-number,p,search-depth,max-radius,run-time,rand-index,silhouette-coefficient
ff,1,1,None,5.170052170805658,0.0020666122436523438,0.5246159457622536,0.38114365933146643
ff,2,1,None,4.415606695649187,0.0017118453979492188,0.47822084739924664,0.34083637888279583
ff,3,1,None,4.6426293655317785,0.0020265579223632812,0.601628858875277,0.3957726751538636
ff,4,1,None,4.39136153573669,0.0020034313201904297,0.6433209804908231,0.4246550053648458
ff,5,1,None,5.123070077701135,0.0032432079315185547,0.4090356233500906,0.3130063721517574
ff,6,1,None,4.760062913418009,0.001634836196899414,0.6645594299528024,0.4449675796365901
ff,7,1,None,4.429305584438376,0.0030045509338378906,0.7131679866090389,0.48351983069919113
ff,8,1,None,4.456331909046328,0.0020020008087158203,0.55343364273422,0.3464635591653548
ff,9,1,None,4.901583901041519,0.0023374557495117188,0.38774227550109414,0.312625562186522
ff,10,1,None,4.597238680261327,0.0019905567169189453,0.38301984860880195,0.2871089780610293
ff,11,1,None,4.6277052415165,0.0009922981262207031,0.6437976128676564,0.43906402160466645
ff,12,1,None,4.608451210257028,0.00118255615234375,0.5688564564970241,0.386177738008284
ff,13,1,None,4.571293732561783,0.0019996166229248047,0.5066074392791,0.35661140436669486
ff,14,1,None,4.456331909046328,0.0010056495666503906,0.5909805796557572,0.3645383713028158
ff,15,1,None,4.608451210257028,0.0010187625885009766,0.5688564564970241,0.386177738008284
ff,16,1,None,4.456331909046328,0.0009992122650146484,0.6007145342209188,0.3668582179591431
ff,17,1,None,4.766810430956347,0.0010309219360351562,0.4910646642421809,0.3739261051922552
ff,18,1,None,4.623904157810238,0.0009937286376953125,0.6081328404584867,0.3797990708867759
ff,19,1,None,4.467749791348068,0.0010008811950683594,0.4237351781648975,0.33627081787723573
ff,20,1,None,4.138151166015754,0.000997781753540039,0.48685527380210636,0.3654778793307633
ff,21,1,None,4.6426293655317785,0.0010001659393310547,0.7199798825077055,0.4742262233106859
ff,22,1,None,4.552362768145284,0.002064943313598633,0.5999209746725506,0.4217384625213435
ff,23,1,None,5.710434832990389,0.002023935317993164,0.5075672524821646,0.3976863186995959
ff,24,1,None,4.389254505131097,0.0018224716186523438,0.4283847652159031,0.3379450865089391
ff,25,1,None,4.456331909046328,0.0010013580322265625,0.6027900214786535,0.3653674049435077
ff,26,1,None,4.50283209110591,0.0019991397857666016,0.6956067437462469,0.46008161802963693
ff,27,1,None,4.429305584438376,0.002002716064453125,0.7131679866090389,0.48351983069919113
ff,28,1,None,4.6277052415165,0.0009982585906982422,0.6146832917997594,0.428387564669688
ff,29,1,None,4.456331909046328,0.0010025501251220703,0.6165652346484141,0.37331994270651786
ff,30,1,None,4.967926929103726,0.001026153564453125,0.3669747942374622,0.27226079134119446
bs,1,1,2,4.472525664138123,0.005339145660400391,0.6008241151483001,0.44889108577839837
bs,2,1,2,4.2472358940643655,0.0020914077758789062,0.4060283919141509,0.3274741413194382
bs,3,1,2,4.3155730045195675,0.0019986629486083984,0.4882283748484593,0.3614433034546749
bs,4,1,2,4.835722946535835,0.002779722213745117,0.6861357464057936,0.49026563498752396
bs,5,1,2,6.238592579532921,0.003160715103149414,0.5893288616676468,0.3583305882850791
bs,6,1,2,4.587238422665944,0.002955913543701172,0.457335672511257,0.3727831299364509
bs,7,1,2,4.7864137792849935,0.00226593017578125,0.599391144361768,0.40155619479157484
bs,8,1,2,4.289631818444308,0.0022118091583251953,0.6746883362058617,0.4511022089468415
bs,9,1,2,3.8724039536685027,0.0042095184326171875,0.47171828738905575,0.371204601937529
bs,10,1,2,4.776760143527502,0.0022437572479248047,0.4977538875729194,0.39053947300478886
bs,11,1,2,4.591023419830867,0.003230571746826172,0.4470963765193848,0.3374169669374731
bs,12,1,2,4.652524647005816,0.004196643829345703,0.5150920476402713,0.39626143445208445
bs,13,1,2,4.187680661489475,0.0029985904693603516,0.6614483908189109,0.4370981018863291
bs,14,1,2,3.9882893327482036,0.001997232437133789,0.6432305282856576,0.4738501906429729
bs,15,1,2,4.506052865227254,0.0030307769775390625,0.7099393583672416,0.4611707049206231
bs,16,1,2,4.401911495775572,0.002998828887939453,0.6467713419144248,0.4446442828205374
bs,17,1,2,4.708051734355103,0.0029931068420410156,0.5706609979797314,0.40250400975206346
bs,18,1,2,4.088709607675554,0.003136873245239258,0.5177623563316789,0.4035626712957229
bs,19,1,2,4.413841319511384,0.0019981861114501953,0.6032618339472043,0.4101346988610049
bs,20,1,2,4.7864137792849935,0.0028467178344726562,0.611240001341468,0.3960272985840535
bs,21,1,2,4.14624835343664,0.0023071765899658203,0.4817190243388516,0.35957250386868306
bs,22,1,2,4.41699153095254,0.0021953582763671875,0.5812345744843013,0.3982825489116575
bs,23,1,2,3.9287637174832963,0.0009984970092773438,0.7107887267018675,0.4829460532056826
bs,24,1,2,4.7987175064236975,0.0020020008087158203,0.41229384292942933,0.33383414264982497
bs,25,1,2,3.4241191107450817,0.001996755599975586,0.76186535451924,0.5035067869886075
bs,26,1,2,4.599527465864115,0.0020029544830322266,0.6343583629949474,0.41217536082003164
bs,27,1,2,3.6382195706190372,0.003198862075805664,0.4762465651924762,0.4005086017982109
bs,28,1,2,4.613321769514204,0.0030069351196289062,0.6781682643117877,0.4262057073267025
bs,29,1,2,3.959556282615106,0.0030183792114257812,0.7467145647877035,0.5048054893781538
