algorithm,test-number,p,search-depth,max-radius,run-time,rand-index,silhouette-coefficient
ff,1,2,None,4.082,0.006203174591064453,0.04679920093337521,0.1585957984008751
ff,2,2,None,3.902,0.006219387054443359,0.03927314322418097,0.1305734349371703
ff,3,2,None,4.199,0.006000995635986328,0.08309032276020016,0.12072981865795872
ff,4,2,None,3.94,0.006001710891723633,0.040278067328501165,0.13170833694326226
ff,5,2,None,3.807,0.005260944366455078,0.12295608294295077,0.15003959409758774
ff,6,2,None,3.972,0.005000114440917969,0.04209681563070812,0.13793548728449453
ff,7,2,None,4.173,0.006212949752807617,0.07502025457944438,0.18154853188423678
ff,8,2,None,4.244,0.006007194519042969,0.05033176166238481,0.126969774550379
ff,9,2,None,3.982,0.005202531814575195,0.081966582774158,0.15525921624920863
ff,10,2,None,4.208,0.005999088287353516,0.07059260571405127,0.18071126504150592
ff,11,2,None,3.843,0.006027936935424805,0.021640979373918387,0.1289558028159679
ff,12,2,None,4.208,0.0060002803802490234,0.0580580975839399,0.17082353055856764
ff,13,2,None,4.063,0.006109476089477539,0.04090047667511936,0.14530594239110828
ff,14,2,None,4.166,0.011228322982788086,0.03454687887066117,0.1303848502806095
ff,15,2,None,4.139,0.005261659622192383,0.05346525984676834,0.13114235763521329
ff,16,2,None,4.063,0.00621795654296875,0.04090047667511936,0.14530594239110828
ff,17,2,None,3.807,0.021998167037963867,0.02471367188940859,0.061554197250591455
ff,18,2,None,4.173,0.011996269226074219,0.0758102574770761,0.1886195967619933
ff,19,2,None,3.984,0.005998134613037109,0.0713715886737164,0.158110791321202
ff,20,2,None,4.208,0.018996477127075195,0.11831521415983941,0.15938917479079845
ff,21,2,None,3.94,0.011990785598754883,0.07352682128371513,0.15530091428347512
ff,22,2,None,4.199,0.011182785034179688,0.06793197511328644,0.14441522682889724
ff,23,2,None,3.834,0.0081787109375,0.05250322094292229,0.13306977421539912
ff,24,2,None,3.834,0.007234811782836914,0.10671968415120361,0.13740775136895922
ff,25,2,None,4.035,0.0061855316162109375,0.045180257145007466,0.1303495906461524
ff,26,2,None,3.869,0.005000114440917969,0.08246963435632777,0.1715598010500121
ff,27,2,None,4.048,0.0060007572174072266,0.03573920972088456,0.1600243297435579
ff,28,2,None,3.834,0.005097389221191406,0.028866498263131864,0.11334197156750822
ff,29,2,None,3.967,0.0071408748626708984,0.04062097253301719,0.16758874297446472
ff,30,2,None,3.843,0.005217552185058594,0.021640979373918387,0.1289558028159679
bs,1,2,2,5.127,0.0059969425201416016,0.10741592335434047,0.07126861915225025
bs,2,2,2,4.925,0.005999088287353516,0.12540982376604334,0.12161653921921556
bs,3,2,2,4.795,0.0039997100830078125,0.15082036831353487,0.12521355128949027
bs,4,2,2,4.025,0.004301786422729492,0.13138496015469184,0.125489265817165
bs,5,2,2,5.104,0.004000425338745117,0.2538968179352939,0.14075417079416253
bs,6,2,2,4.294,0.003998279571533203,0.12089352606595571,0.10904804199989741
bs,7,2,2,5.084,0.004000186920166016,0.13271106241076555,0.11791502785190483
bs,8,2,2,4.939,0.004143714904785156,0.12560438535827978,0.13221901365083866
bs,9,2,2,5.079,0.006000995635986328,0.13833279949648283,0.07806722169934657
bs,10,2,2,4.939,0.004998207092285156,0.1019851359155785,0.09737634299651823
bs,11,2,2,5.104,0.004154205322265625,0.1212286783637581,0.09785239039254179
bs,12,2,2,3.882,0.003997325897216797,0.12127097938764825,0.12201711978840699
bs,13,2,2,4.999,0.007161855697631836,0.11347662069023053,0.15230744575824673
bs,14,2,2,4.84,0.004998922348022461,0.1242965583823027,0.12021885590285511
bs,15,2,2,4.745,0.004999399185180664,0.1951197614111251,0.13619015987664382
bs,16,2,2,4.944,0.004999876022338867,0.14392996544014752,0.11272921774631806
bs,17,2,2,5.015,0.005170345306396484,0.15289193318188823,0.15389162229517364
bs,18,2,2,5.015,0.004998207092285156,0.11966220891335365,0.12137790132249661
bs,19,2,2,4.917,0.003999471664428711,0.1930592355452189,0.1284735154004148
bs,20,2,2,4.999,0.006239414215087891,0.06105892865080166,0.12935060394490194
bs,21,2,2,5.096,0.005998134613037109,0.09465624245635401,0.13711836212965647
bs,22,2,2,3.491,0.004127025604248047,0.10032863319648225,0.15849491017770465
bs,23,2,2,5.102,0.003999233245849609,0.0640656551268722,0.10042529793143602
bs,24,2,2,4.875,0.004000186920166016,0.19771073117266927,0.12593030338393651
bs,25,2,2,4.964,0.004999876022338867,0.11838812941478342,0.10358643180789733
bs,26,2,2,4.795,0.004173755645751953,0.15804543332586668,0.15932469656608741
bs,27,2,2,4.211,0.00499415397644043,0.11832482822101788,0.13566582540558877
bs,28,2,2,4.579,0.004181385040283203,0.24616161739925643,0.12812139897756894
bs,29,2,2,5.015,0.005000591278076172,0.10354042704314068,0.08903872253502135
bs,30,2,2,3.802,0.005007743835449219,0.08751923037921412,0.1433896085403329
bs,1,2,3,3.807,0.006991147994995117,0.16563738430575153,0.15826519721529272
bs,2,2,3,3.942,0.006169557571411133,0.08877031391214209,0.1146669937585812
bs,3,2,3,3.751,0.007195472717285156,0.10761610981145475,0.12968872481406238
bs,4,2,3,4.183,0.005201816558837891,0.07779192326987094,0.134076394219168
bs,5,2,3,3.842,0.004999637603759766,0.04024217118147067,0.09080007299087367
bs,6,2,3,3.559,0.005000114440917969,0.08403931773664237,0.16265038915199376
bs,7,2,3,4.01,0.004998922348022461,0.07367871201629418,0.12142590365274251
bs,8,2,3,3.604,0.005001544952392578,0.11316405946609791,0.1658908544278116
bs,9,2,3,3.834,0.006992340087890625,0.1351738840185388,0.19011520354735192
bs,10,2,3,4.106,0.005002260208129883,0.12060131671299111,0.15021381922948843
bs,11,2,3,3.895,0.004999876022338867,0.025906948835497014,0.10291133378580687
bs,12,2,3,4.282,0.009004831314086914,0.039939837149771326,0.0856709591043376
bs,13,2,3,3.796,0.010211467742919922,0.08277496535464211,0.1364917529387863
bs,14,2,3,3.829,0.014511823654174805,0.061934126909833596,0.1130057422189009
bs,15,2,3,4.198,0.007018566131591797,0.08246801491947359,0.05065692560647093
bs,16,2,3,3.419,0.018378257751464844,0.12246073860871284,0.19121549178824973
bs,17,2,3,3.95,0.010166406631469727,0.12471625180875044,0.13981302948927754
bs,18,2,3,3.849,0.009176254272460938,0.14224343838436562,0.13153659620319827
bs,19,2,3,3.772,0.008265018463134766,0.0881749141568879,0.16286165949683512
bs,20,2,3,3.881,0.005996227264404297,0.06729830495891531,0.14237308754379588
bs,21,2,3,4.16,0.005193233489990234,0.032738469361686916,0.12124351734006082
bs,22,2,3,3.807,0.005992889404296875,0.06578241638611916,0.1499964178707714
bs,23,2,3,3.834,0.006201267242431641,0.16285942529419753,0.1686509831514932
bs,24,2,3,3.76,0.005000591278076172,0.07806558094188266,0.1489417186092343
bs,25,2,3,3.599,0.006999969482421875,0.12892872517713969,0.17458281669492326
bs,26,2,3,4.118,0.011004209518432617,0.11874562478150215,0.1066176000390153
bs,27,2,3,3.758,0.014000177383422852,0.09669881760793114,0.1530176816611449
bs,28,2,3,4.268,0.006996870040893555,0.0732125482383673,0.15349919410401575
bs,29,2,3,3.989,0.005997657775878906,0.18736708848931555,0.15936732463759362
bs,30,2,3,4.211,0.015004396438598633,0.10085317166790034,0.12131260685830716
bs,1,2,4,3.857,0.01099705696105957,0.11036656053215375,0.13930285354833724
bs,2,2,4,3.711,0.009157419204711914,0.13376334159081005,0.1782927975835505
bs,3,2,4,3.845,0.008005380630493164,0.14304152475702936,0.12745177092399593
bs,4,2,4,3.74,0.008996725082397461,0.09028386043640303,0.17493219228110532
bs,5,2,4,3.789,0.006995677947998047,0.139646220386361,0.14221808586712842
bs,6,2,4,3.708,0.00799870491027832,0.10161455202676713,0.1086304459183399
bs,7,2,4,3.736,0.009997367858886719,0.07022303194284238,0.1501865954725578
bs,8,2,4,3.672,0.007993221282958984,0.08134584384364728,0.1266399923404086
bs,9,2,4,3.557,0.007999420166015625,0.0854501652644271,0.1510177777460862
bs,10,2,4,4.054,0.006999969482421875,0.06315468227604872,0.11512449738622706
bs,11,2,4,3.758,0.007009267807006836,0.02459991095819554,0.15971685332300437
bs,12,2,4,4.188,0.007151603698730469,0.04193673044365496,0.08205384941581156
bs,13,2,4,4.171,0.006996631622314453,0.021127930029874602,0.13673773357640048
bs,14,2,4,3.906,0.006993293762207031,0.12090896165789214,0.13142861151437227
bs,15,2,4,3.725,0.008005380630493164,0.16026948908768215,0.14809271801603116
bs,16,2,4,3.833,0.0060002803802490234,0.12968326147671008,0.1458791533587589
bs,17,2,4,3.804,0.006003141403198242,0.031464872551482864,0.12742017389991384
bs,18,2,4,3.429,0.00900578498840332,0.076674380793667,0.14479202859330134
bs,19,2,4,3.558,0.011000394821166992,0.08883772613738006,0.1550602125498299
bs,20,2,4,3.468,0.005999565124511719,0.10037522424202798,0.10336263284151356
bs,21,2,4,4.277,0.014000177383422852,0.08582124340280312,0.14447380646112862
bs,22,2,4,3.735,0.01199960708618164,0.0602147735596955,0.13060089554959003
bs,23,2,4,3.497,0.009004831314086914,0.07292961379161164,0.14400545797563127
bs,24,2,4,3.555,0.011988401412963867,0.10051823366383301,0.131646699145397
bs,25,2,4,3.504,0.00800180435180664,0.10959273633205358,0.15819227276543993
bs,26,2,4,3.857,0.012989521026611328,0.14778796081105766,0.15678109915875807
bs,27,2,4,3.694,0.007001399993896484,0.043844336068362,0.15800629479083442
