algorithm,test-number,p,search-depth,max-radius,run-time,rand-index,silhouette-coefficient
ff,1,2,None,24.9,0.01899552345275879,0.2411542362090749,0.2711251224581302
ff,2,2,None,22.946,0.017871618270874023,0.28509577773604694,0.4190637213143993
ff,3,2,None,24.62,0.02023625373840332,0.2920105051364269,0.37414547606211007
ff,4,2,None,24.423,0.01224827766418457,0.22495462994455234,0.34086472931320577
ff,5,2,None,22.974,0.021249055862426758,0.2826248475188695,0.4076321245121331
ff,6,2,None,24.687,0.016997575759887695,0.281490690088147,0.39688239346755605
ff,7,2,None,23.303,0.017154216766357422,0.2745756136052233,0.37375775150498136
ff,8,2,None,24.108,0.021052122116088867,0.2788733518674496,0.36314870913425423
ff,9,2,None,26.624,0.019997596740722656,0.2675044667484838,0.36501510235055873
ff,10,2,None,25.913,0.017179012298583984,0.30941834010506025,0.4125659136603543
ff,11,2,None,25.913,0.01100015640258789,0.27240316986632723,0.35045658709229704
ff,12,2,None,24.385,0.011001348495483398,0.26841136696515183,0.35423738999150073
ff,13,2,None,25.552,0.022723674774169922,0.27092604073001386,0.3251663241327174
ff,14,2,None,24.687,0.017602920532226562,0.28577309616245056,0.3936220612342135
ff,15,2,None,24.9,0.01695394515991211,0.28298185231774853,0.3809348302323013
ff,16,2,None,25.913,0.017000198364257812,0.2716549465361071,0.3439036409831027
ff,17,2,None,25.733,0.023257970809936523,0.3018941113832415,0.37210269954121034
ff,18,2,None,22.665,0.017002582550048828,0.2650639564196588,0.35510261069669813
ff,19,2,None,25.968,0.015177726745605469,0.2794948931808887,0.3295907039782696
ff,20,2,None,23.573,0.017002582550048828,0.2551776706908598,0.3960935982675154
ff,21,2,None,26.174,0.01888895034790039,0.23902998625647326,0.2768077118503357
ff,22,2,None,24.152,0.015171051025390625,0.2810200561194731,0.3128358058052639
ff,23,2,None,22.946,0.01898336410522461,0.2859024100935533,0.4161037545933168
ff,24,2,None,24.155,0.026180744171142578,0.28157311890313713,0.3827688788286815
ff,25,2,None,24.15,0.021628856658935547,0.2757277142012498,0.3880145116835236
ff,26,2,None,22.406,0.013200044631958008,0.2543147443959999,0.37185029095391353
ff,27,2,None,25.527,0.01600503921508789,0.24412211907099243,0.35391315315053967
ff,28,2,None,25.913,0.017365455627441406,0.27303024337174486,0.3337771792094891
ff,29,2,None,27.405,0.017045021057128906,0.26179060123636977,0.36290789459389367
ff,30,2,None,24.552,0.015990734100341797,0.2865954351618792,0.3880807680686265
bs,1,2,2,21.589,0.03576183319091797,0.27386102227768544,0.3759902570003272
bs,2,2,2,28.583,0.036173343658447266,0.2938530557158274,0.38926712108752864
bs,3,2,2,29.699,0.01900482177734375,0.2545694064000602,0.31656868402209404
bs,4,2,2,31.736,0.021581172943115234,0.2926854272408191,0.36279925328736434
bs,5,2,2,24.9,0.029532670974731445,0.31509175920794225,0.32271087457381276
bs,6,2,2,21.42,0.026015043258666992,0.28234128126847524,0.40098337362130215
bs,7,2,2,30.925,0.029439210891723633,0.25398588609809525,0.3132762998095719
bs,8,2,2,23.532,0.026119709014892578,0.31486619636539487,0.37865310498010957
bs,9,2,2,30.268,0.026000022888183594,0.19528449876705525,0.21174700238918057
bs,10,2,2,26.144,0.02456831932067871,0.27599043803848944,0.33777310590684306
bs,11,2,2,25.464,0.020997047424316406,0.271965579318065,0.35182802178069195
bs,12,2,2,31.337,0.028337478637695312,0.24514020285117552,0.255804357186979
bs,13,2,2,30.343,0.03054213523864746,0.2482302041438691,0.28410287980217286
bs,14,2,2,31.523,0.021678447723388672,0.3463977939516599,0.3752459299466346
bs,15,2,2,30.925,0.0209500789642334,0.22445843207431088,0.3214557243972402
bs,16,2,2,30.999,0.012026786804199219,0.28531229476582776,0.29921359364463085
bs,17,2,2,29.563,0.025793790817260742,0.2870789529495163,0.4185186253121138
bs,18,2,2,33.167,0.019733428955078125,0.2968340558087363,0.3777963035617014
bs,19,2,2,31.523,0.040612220764160156,0.27031582733875553,0.33696106786770597
bs,20,2,2,33.052,0.02540278434753418,0.34108109735831776,0.3106552660606487
bs,21,2,2,22.047,0.018000364303588867,0.29696685808041523,0.4084741356043046
bs,22,2,2,31.151,0.02599954605102539,0.3102009697730654,0.35569639844581363
bs,23,2,2,25.053,0.031008005142211914,0.30636464962800536,0.2982156546497129
bs,24,2,2,23.989,0.03798627853393555,0.3275016642539536,0.4093643264993351
bs,25,2,2,28.996,0.03915047645568848,0.27329018480200096,0.3351007298043905
bs,26,2,2,32.677,0.019001245498657227,0.27723120473745666,0.3100962728382081
bs,27,2,2,31.833,0.02840566635131836,0.2722560282556963,0.279736517477224
bs,28,2,2,31.754,0.031165122985839844,0.3438490087759182,0.3037512617365677
bs,29,2,2,29.872,0.038156986236572266,0.3098189082449248,0.4186879794695741
bs,30,2,2,31.061,0.046010732650756836,0.2884033657162315,0.3678057203848723
bs,1,2,3,23.989,0.03763461112976074,0.3109482581936211,0.4260864174879176
bs,2,2,3,21.44,0.030308246612548828,0.32131690539829794,0.37469948256567565
bs,3,2,3,21.728,0.0390009880065918,0.32269297276552245,0.39933150632759135
bs,4,2,3,24.291,0.033727169036865234,0.3005421610109853,0.3802275269496927
bs,5,2,3,27.242,0.0415802001953125,0.29552558465772605,0.378882586758039
bs,6,2,3,21.954,0.03927803039550781,0.27324366534185146,0.3873608847496518
bs,7,2,3,23.426,0.05538749694824219,0.2986846473789709,0.39685558388586095
bs,8,2,3,21.703,0.03442549705505371,0.29342532071952776,0.3544022978224847
bs,9,2,3,22.847,0.044222354888916016,0.2779626022005437,0.3469266966122195
bs,10,2,3,23.224,0.031972408294677734,0.28058458361108946,0.3841505836161651
bs,11,2,3,21.68,0.02420330047607422,0.30622134206943064,0.43519701006513756
bs,12,2,3,22.685,0.02211284637451172,0.30325406105732644,0.3959648324677438
bs,13,2,3,20.329,0.0439600944519043,0.2903810642020314,0.3438316373253659
bs,14,2,3,33.051,0.025209903717041016,0.31662564669372917,0.36785566058976027
bs,15,2,3,31.154,0.03368544578552246,0.3141598937688664,0.3226310567181404
bs,16,2,3,23.05,0.02316570281982422,0.2593449474020692,0.3743948692049033
bs,17,2,3,24.052,0.03696560859680176,0.30940596562041056,0.353298719040505
bs,18,2,3,22.715,0.028810739517211914,0.27044542816368516,0.3458697405085563
bs,19,2,3,22.574,0.0459897518157959,0.2985467605982599,0.37244088993134633
bs,20,2,3,18.92,0.0400233268737793,0.2813693687155066,0.40212911796833495
bs,21,2,3,24.9,0.03315424919128418,0.29052390808287243,0.3902133930206369
bs,22,2,3,22.566,0.044199466705322266,0.3215225537467704,0.3759796267057793
bs,23,2,3,21.488,0.03215169906616211,0.3015899851415915,0.3788706100165287
bs,24,2,3,21.772,0.02624368667602539,0.2710060679056891,0.39966317481023195
bs,25,2,3,22.096,0.04608345031738281,0.30577878506364753,0.35443014226037955
bs,26,2,3,25.022,0.026103973388671875,0.28614796184323216,0.3960492833515982
bs,27,2,3,22.482,0.03733468055725098,0.2855537809495271,0.32103481766964137
bs,28,2,3,20.519,0.04048275947570801,0.25207265862792816,0.34331257078486116
bs,29,2,3,21.265,0.0322270393371582,0.24209199922937577,0.2414620407742433
bs,30,2,3,22.578,0.040513038635253906,0.24458334622807135,0.37259541969089793
bs,1,2,4,22.691,0.055666446685791016,0.23553708733825426,0.30615661366645414
bs,2,2,4,20.289,0.043421030044555664,0.295020155126934,0.34250035127409584
bs,3,2,4,22.47,0.037532806396484375,0.2771904610543833,0.4072172222187726
bs,4,2,4,20.209,0.031000137329101562,0.2811277418129037,0.4386395244073937
bs,5,2,4,22.279,0.04807472229003906,0.23697295335083962,0.2997860023168229
bs,6,2,4,23.653,0.04810690879821777,0.24899038468592202,0.33356277673918155
bs,7,2,4,20.764,0.06308293342590332,0.32481631729056104,0.38851224475404145
bs,8,2,4,21.017,0.044862985610961914,0.2986705964555216,0.42380583760038915
bs,9,2,4,22.406,0.038356781005859375,0.3056764003399429,0.4149316612091149
bs,10,2,4,23.224,0.03556394577026367,0.29085141634115996,0.3317717114807637
bs,11,2,4,25.048,0.06329989433288574,0.27254077262055254,0.39922675105488636
bs,12,2,4,20.329,0.046230316162109375,0.2850624136878954,0.4006258897335948
bs,13,2,4,24.021,0.06397199630737305,0.21197044131314655,0.3103450883391646
bs,14,2,4,23.989,0.03752899169921875,0.2928423177266491,0.3613149497091315
bs,15,2,4,21.728,0.05614662170410156,0.30429458744554905,0.41492463936993745
bs,16,2,4,21.511,0.0553591251373291,0.21871654827649525,0.3445936042393694
bs,17,2,4,24.192,0.04245281219482422,0.2874857858143631,0.33989573651888977
bs,18,2,4,23.989,0.035932302474975586,0.2563888439139913,0.3356582579742191
bs,19,2,4,20.764,0.05074739456176758,0.29315627203280287,0.4024080623905362
bs,20,2,4,20.052,0.045317649841308594,0.2838586354564194,0.40996927676410594
bs,21,2,4,24.9,0.03675723075866699,0.2628803215791885,0.28790805394648705
bs,22,2,4,20.479,0.0523076057434082,0.28936862427353965,0.3969053284397043
bs,23,2,4,23.441,0.0490109920501709,0.3118749405691521,0.39721547338146584
bs,24,2,4,20.261,0.05330085754394531,0.3051467807674704,0.4205576610756552
bs,25,2,4,20.745,0.04286456108093262,0.23551396892233625,0.3677356615292525
bs,26,2,4,19.612,0.05499267578125,0.2816391618611514,0.4201777654951858
bs,27,2,4,21.52,0.03688812255859375,0.28987734502355433,0.42621086839687833
bs,28,2,4,22.662,0.04367780685424805,0.26966821591434154,0.3723281459208927
bs,29,2,4,20.94,0.057030439376831055,0.2816542000499279,0.3261549737674614
bs,30,2,4,24.802,0.053084373474121094,0.2716818868315859,0.3464050665275593
bs,1,2,5,21.24,0.05886435508728027,0.29017707994622066,0.3778863194585028
bs,2,2,5,22.89,0.054628610610961914,0.31081743026206426,0.39344914418860566
bs,3,2,5,21.169,0.05659890174865723,0.2764675193606125,0.4254456652598737
bs,4,2,5,22.944,0.06579470634460449,0.2581107750988072,0.32256064971433074
bs,5,2,5,21.287,0.049048423767089844,0.30311502244953276,0.43293458574009136
bs,6,2,5,21.92,0.06620144844055176,0.29309684790310775,0.37957737784342316
bs,7,2,5,22.799,0.0547785758972168,0.30274540264083505,0.37819385891425156
bs,8,2,5,21.61,0.05644989013671875,0.2827229593981216,0.350123791545591
bs,9,2,5,21.708,0.07042455673217773,0.2875676436461081,0.40515960478765467
bs,10,2,5,22.655,0.060302734375,0.30186809164185474,0.4501581940850456
bs,11,2,5,21.071,0.03699517250061035,0.2598040027224647,0.38425986338539203
bs,12,2,5,24.067,0.06633329391479492,0.2768699807750176,0.3671443691106883
bs,13,2,5,21.605,0.061723947525024414,0.317372816347846,0.38641801087050287
bs,14,2,5,20.764,0.06634521484375,0.290581285981708,0.3177929732296822
bs,15,2,5,21.818,0.06227731704711914,0.31525057232256626,0.3881259598993999
bs,16,2,5,20.083,0.04970240592956543,0.2869910598448664,0.41324203745364513
bs,17,2,5,23.353,0.07405543327331543,0.22534172121292914,0.349072693808313
bs,18,2,5,19.926,0.044220685958862305,0.2973311124528697,0.41865222858617573
bs,19,2,5,20.09,0.05926871299743652,0.27809112861574997,0.44196218807466625
bs,20,2,5,24.995,0.04553031921386719,0.2911318618975957,0.40485781877845656
bs,21,2,5,26.268,0.058216094970703125,0.32066684352714053,0.3261829731986611
bs,22,2,5,21.541,0.07718801498413086,0.2675044774767025,0.3220550732292939
bs,23,2,5,21.975,0.05070090293884277,0.2706681420564527,0.38167155318839224
bs,24,2,5,23.004,0.07911920547485352,0.2515286704573497,0.3171661123629261
bs,25,2,5,22.52,0.04168224334716797,0.2919524180754655,0.4121455295922109
bs,26,2,5,21.569,0.05855560302734375,0.25713231054224345,0.37966337375691417
bs,27,2,5,22.663,0.05429863929748535,0.2824891939313452,0.3781976823573427
bs,28,2,5,20.346,0.08672523498535156,0.34533183735457057,0.4194191405841513
bs,29,2,5,22.523,0.08185625076293945,0.2952003283412808,0.3959110212689274
bs,30,2,5,22.94,0.05436849594116211,0.27644742422477586,0.36331940617715136
bs,1,2,6,21.025,0.06280732154846191,0.3436688142283649,0.3674196016081172
bs,2,2,6,21.621,0.06624054908752441,0.22432863234602862,0.33652344101775694
bs,3,2,6,21.559,0.08946990966796875,0.25411127052205534,0.2827622187955977
bs,4,2,6,20.583,0.07977652549743652,0.3159322368792155,0.4490230991513297
bs,5,2,6,21.338,0.09520530700683594,0.2825821348771036,0.38642333643505206
bs,6,2,6,22.672,0.1262037754058838,0.2829984472314297,0.3347781267902253
bs,7,2,6,20.224,0.08542799949645996,0.28139123017827744,0.4355476632767727
bs,8,2,6,20.136,0.0674428939819336,0.276482704968338,0.44608450164607943
bs,9,2,6,21.328,0.06027626991271973,0.3349765201487447,0.36437037290057284
bs,10,2,6,20.019,0.0661613941192627,0.29331209134661784,0.4089888293737996
bs,11,2,6,21.34,0.08048796653747559,0.29955784475201147,0.33957506460715925
bs,12,2,6,22.645,0.06916975975036621,0.2862828497578299,0.41094466646407884
bs,13,2,6,19.746,0.09108471870422363,0.2509159672243816,0.38860899618809186
bs,14,2,6,22.583,0.05962777137756348,0.33389165453484104,0.35384187941287687
bs,15,2,6,21.971,0.08086323738098145,0.2275951044727416,0.321631697946339
bs,16,2,6,21.656,0.09032177925109863,0.2619497526007717,0.3191478036394022
bs,17,2,6,21.732,0.052025794982910156,0.31240398767341937,0.419854855854373
bs,18,2,6,23.343,0.07279372215270996,0.28269109987087376,0.38076730202987236
bs,19,2,6,21.183,0.06018400192260742,0.2875733468428781,0.3290020091160331
bs,20,2,6,19.454,0.09266972541809082,0.2963659867057998,0.44241258821483037
bs,21,2,6,21.9,0.06943750381469727,0.30066515681672357,0.3680832770705002
bs,22,2,6,21.143,0.06722903251647949,0.29465482365681683,0.43338634636512036
bs,23,2,6,21.642,0.062491416931152344,0.30298164680183526,0.38177523961367
bs,24,2,6,19.704,0.07509636878967285,0.2932191699653401,0.4629107150801227
bs,25,2,6,22.417,0.060723304748535156,0.2798920040110662,0.37305100387269297
bs,26,2,6,20.512,0.08547711372375488,0.2880989561871489,0.3615918050902631
bs,27,2,6,20.94,0.08608150482177734,0.28359531818981926,0.3909135944458196
bs,28,2,6,21.945,0.08115601539611816,0.2791353557780472,0.3912086022637679
bs,29,2,6,19.261,0.07364225387573242,0.2985331792113574,0.4369382054306932
bs,30,2,6,21.732,0.07561612129211426,0.29851125597116307,0.31211046889010896
km,1,2,None,36.63430254731119,0.5216352939605713,0.3175115886337689,0.4405316121722553
km,2,2,None,36.63430254731119,0.3335118293762207,0.313374630553142,0.4410044427692713
km,3,2,None,41.17284401063084,0.33304286003112793,0.2927991365933591,0.4162873625912972
km,4,2,None,36.63430254731119,0.3334674835205078,0.31465196433036596,0.44101619102977113
km,5,2,None,30.875822977867614,0.32096171379089355,0.2964420834539974,0.4421589673541184
km,6,2,None,36.63430254731119,0.3409416675567627,0.31704333092079656,0.44057275423516473
km,7,2,None,36.63430254731119,0.33509278297424316,0.31451057961804535,0.44103322928922056
km,8,2,None,30.7787787200812,0.3324418067932129,0.30351884248267036,0.4413003203113925
km,9,2,None,30.926044823936678,0.33844470977783203,0.3003282257307284,0.4310501890852709
km,10,2,None,36.63430254731119,0.3328359127044678,0.31451057961804535,0.44103322928922056
km,11,2,None,36.63430254731119,0.3245704174041748,0.313374630553142,0.4410044427692713
km,12,2,None,36.63430254731119,0.3297255039215088,0.31451057961804535,0.44103322928922056
km,13,2,None,36.63430254731119,0.3535788059234619,0.31451057961804535,0.44103322928922056
km,14,2,None,36.63430254731119,0.3537628650665283,0.31451057961804535,0.44103322928922056
km,15,2,None,36.63430254731119,0.32440853118896484,0.31451057961804535,0.44103322928922056
km,16,2,None,30.875822977867614,0.3318479061126709,0.29733890302087673,0.44410243669676586
km,17,2,None,36.63430254731119,0.343691349029541,0.313374630553142,0.4410044427692713
km,18,2,None,35.618950166925565,0.316784143447876,0.29231494987505896,0.4291434928733678
km,19,2,None,36.63430254731119,0.3428168296813965,0.31451057961804535,0.44103322928922056
km,20,2,None,36.63430254731119,0.3223145008087158,0.31451057961804535,0.44103322928922056
km,21,2,None,36.63430254731119,0.32414722442626953,0.313374630553142,0.4410044427692713
km,22,2,None,36.63430254731119,0.35207128524780273,0.313374630553142,0.4410044427692713
km,23,2,None,36.63430254731119,0.3483765125274658,0.313374630553142,0.4410044427692713
km,24,2,None,36.63430254731119,0.3387162685394287,0.3140572021825282,0.4409862943110749
km,25,2,None,36.63430254731119,0.3494279384613037,0.31451057961804535,0.44103322928922056
km,26,2,None,36.63430254731119,0.3594033718109131,0.31481283153183837,0.44099222719051756
km,27,2,None,36.63430254731119,0.32343339920043945,0.31451057961804535,0.44103322928922056
km,28,2,None,36.63430254731119,0.49156975746154785,0.31704333092079656,0.44057275423516473
km,29,2,None,37.76489211951863,0.37943387031555176,0.31241649907804636,0.4195875323571372
km,30,2,None,36.63430254731119,0.33850836753845215,0.313374630553142,0.4410044427692713
