algorithm,test-number,p,search-depth,max-radius,run-time,rand-index,silhouette-coefficient
ff,1,2,None,224.29222010582535,0.0020017623901367188,0.10811133345870295,0.41889831883608475
ff,2,2,None,222.39829136034297,0.0019991397857666016,0.13952017001855993,0.46421676562440917
ff,3,2,None,222.15760171553887,0.002023935317993164,0.13002692082594922,0.4012202547616836
ff,4,2,None,232.3165943276545,0.0019958019256591797,0.06655354053828878,0.5136136299041649
ff,5,2,None,258.5207922005501,0.0020003318786621094,0.12447729885738583,0.38252718902101895
ff,6,2,None,218.07108932639375,0.002000093460083008,0.131047216702617,0.4783597273776678
ff,7,2,None,191.07590114925534,0.001993894577026367,0.08087877498328876,0.5529354493216424
ff,8,2,None,250.36373539312757,0.002000093460083008,0.08915505427374752,0.330278747729846
ff,9,2,None,204.98048687619024,0.002001523971557617,0.0557916700009289,0.355894303507078
ff,10,2,None,259.6709456215693,0.001997232437133789,0.11698706583316947,0.4202003005768704
ff,11,2,None,227.04845297865387,0.0019996166229248047,0.09755742863719497,0.42784199058849226
ff,12,2,None,206.54539452623968,0.0009996891021728516,0.09442971682850942,0.5570936664358519
ff,13,2,None,194.37592443510076,0.0020008087158203125,0.08755801762935232,0.5416949710817492
ff,14,2,None,191.42622599842477,0.0019998550415039062,0.12246879373553887,0.4576355655491197
ff,15,2,None,239.07948469076138,0.0010008811950683594,0.138907485466603,0.3957064798125368
ff,16,2,None,192.49415575544106,0.001999378204345703,0.08449411728896646,0.5400322744441001
ff,17,2,None,236.19060099843094,0.0019996166229248047,0.14171381300274086,0.4236660354592697
ff,18,2,None,217.21418001594648,0.0019991397857666016,0.1204432435766785,0.3892592875723595
ff,19,2,None,260.4841645858727,0.002023458480834961,0.11700463775116858,0.42789600703000413
ff,20,2,None,189.57056733575496,0.002004384994506836,0.08608804601677866,0.5408085730408491
ff,21,2,None,210.09759636892565,0.0020799636840820312,0.11699542367847782,0.5058487573633291
ff,22,2,None,259.6709456215693,0.0022258758544921875,0.11649294483297946,0.4224013711345555
ff,23,2,None,189.57056733575496,0.0020110607147216797,0.08290502366325792,0.5393032549190763
ff,24,2,None,255.44666762359614,0.0010004043579101562,0.12802337644905984,0.35855413044730694
ff,25,2,None,203.11326889201504,0.002000093460083008,0.10713273815648065,0.5407405623183248
ff,26,2,None,213.71008399230954,0.0019991397857666016,0.07126325181145049,0.5236142113516971
ff,27,2,None,249.69381249842777,0.0010001659393310547,0.06520847774687014,0.35464616034060265
ff,28,2,None,260.8428645755908,0.0019860267639160156,0.06873055076827854,0.2819555894633793
ff,29,2,None,189.57056733575496,0.0009996891021728516,0.08438212254392326,0.5544869943269565
ff,30,2,None,192.49415575544106,0.0009996891021728516,0.08387792744119135,0.5542298702404852
bs,1,2,2,322.8745886563388,0.005999326705932617,0.07509061676620542,0.32305716379055666
bs,2,2,2,216.4855653386618,0.003048419952392578,0.07235047364076046,0.4874896250407728
bs,3,2,2,305.6975629605182,0.0022530555725097656,0.1260940155663607,0.4532493535685381
bs,4,2,2,206.3564876615223,0.0031914710998535156,0.078617154085576,0.534797060312072
bs,5,2,2,248.83930557691244,0.003210306167602539,0.10229333706289694,0.41970679358498525
bs,6,2,2,250.52544780919962,0.0033118724822998047,0.1310759215153109,0.48955687994277064
bs,7,2,2,179.44079803656692,0.0042569637298583984,0.10061368262234739,0.5473023118639371
bs,8,2,2,187.61663039293717,0.004269123077392578,0.08516987808437938,0.5395884747139715
bs,9,2,2,198.62527533020565,0.004204273223876953,0.1355049016187944,0.46274002991029517
bs,10,2,2,211.24156787905167,0.003211498260498047,0.08455551966681578,0.5536838293555525
bs,11,2,2,267.3106806695161,0.0040743350982666016,0.0958403527902232,0.432101527859994
bs,12,2,2,327.15745444663185,0.0029990673065185547,0.0818451384300696,0.445595178461823
bs,13,2,2,215.24172457959912,0.0029997825622558594,0.06577921553159008,0.5124675337314348
bs,14,2,2,204.69733754985677,0.00400233268737793,0.07903377972159001,0.5496843725747588
bs,15,2,2,182.11534806270447,0.002999544143676758,0.09893180828269402,0.5531249004143166
bs,16,2,2,190.0473625178734,0.004000186920166016,0.0893301409209939,0.541616161334215
bs,17,2,2,200.43702252827444,0.004113435745239258,0.11478758231567421,0.5325061631535074
bs,18,2,2,201.60605149647665,0.003002643585205078,0.109498324163602,0.40366339765954434
bs,19,2,2,251.80945176859427,0.004000186920166016,0.06695642209490861,0.5518178471932024
bs,20,2,2,265.2527096939822,0.003997325897216797,0.06656199946752894,0.5306532214575661
bs,21,2,2,271.6983621592151,0.0029997825622558594,0.09367622762359795,0.3934158627680868
bs,22,2,2,275.92209045308425,0.004034519195556641,0.09201415070540293,0.3786886531340346
bs,23,2,2,180.9834246554087,0.004208087921142578,0.09607648092160935,0.5568412673297396
bs,24,2,2,212.61467494037188,0.004248142242431641,0.06539013768952288,0.5262859371597803
bs,25,2,2,218.23611066915575,0.0039980411529541016,0.08157369925626864,0.5528049722140881
bs,26,2,2,248.94979413528344,0.003803730010986328,0.08839039347774837,0.4389765272864608
bs,27,2,2,191.57505056765612,0.003956794738769531,0.08362602436032629,0.5531679117006323
bs,28,2,2,282.02304870347035,0.0030052661895751953,0.04749926510868893,0.5177136675177217
bs,29,2,2,273.5964181052084,0.004156351089477539,0.1385390754940176,0.457984185697226
bs,30,2,2,216.47401691658055,0.003999471664428711,0.09155360952449469,0.5336906894515214
bs,1,2,3,210.1927686672403,0.004225730895996094,0.08960899002932991,0.5567363254555762
bs,2,2,3,246.59480935331953,0.004023313522338867,0.10694554195976205,0.32557406295297553
bs,3,2,3,186.5207763226392,0.005014657974243164,0.08976655914491213,0.5561130973646307
bs,4,2,3,213.44320087554908,0.004999876022338867,0.08983275853105499,0.5403351458830423
bs,5,2,3,249.367199126108,0.0042743682861328125,0.0652644826117732,0.3767011232789017
bs,6,2,3,213.2088178289069,0.004227161407470703,0.07173889102718956,0.5228191211100657
bs,7,2,3,217.61663539352867,0.004998922348022461,0.07484611023373429,0.5394213099191896
bs,8,2,3,180.34411551253896,0.00500035285949707,0.10479011457027089,0.46549781866133644
bs,9,2,3,197.19787017105432,0.005192279815673828,0.10701082615468772,0.4984561452828969
bs,10,2,3,224.392513244092,0.0033218860626220703,0.08548860809596812,0.5550142578480847
bs,11,2,3,179.552220816118,0.004283905029296875,0.09209619108702577,0.5031634440205486
bs,12,2,3,190.4704701521997,0.005203723907470703,0.08930996755228869,0.45313961533087205
bs,13,2,3,201.32560691576222,0.002997875213623047,0.07923421121232035,0.5366934733675383
bs,14,2,3,193.19679086361657,0.0039975643157958984,0.0794797877613026,0.5356641860407833
bs,15,2,3,206.3564876615223,0.004125833511352539,0.078617154085576,0.534797060312072
bs,16,2,3,209.17456824384746,0.0049932003021240234,0.09217833518943955,0.4321605128093466
bs,17,2,3,270.22398117117586,0.003999948501586914,0.06203587509317748,0.5305890068641402
bs,18,2,3,212.67580962582463,0.005158185958862305,0.1365867835814782,0.3553658115163206
bs,19,2,3,189.11901014969385,0.0053098201751708984,0.08620614234467934,0.552491878202227
bs,20,2,3,213.00938946440834,0.0041370391845703125,0.07434378983054082,0.5402521863513853
bs,21,2,3,194.90253974743376,0.0050201416015625,0.09781651004792932,0.541297680664544
bs,22,2,3,213.58604823349302,0.005110025405883789,0.07906747010654665,0.5092870641015119
bs,23,2,3,251.80945176859427,0.003999948501586914,0.11728217749087644,0.5162505708901878
bs,24,2,3,263.9033914143583,0.0041043758392333984,0.12125394695411482,0.45704047740091497
bs,25,2,3,206.66155907667007,0.005217075347900391,0.07792513770273946,0.5499969733938143
bs,26,2,3,250.03399768831437,0.0030002593994140625,0.102035033086817,0.39095613753299935
bs,27,2,3,211.4190152280537,0.00602412223815918,0.11587268180990769,0.4937011134139041
bs,28,2,3,269.4884042032236,0.0030198097229003906,0.12187178756425424,0.45339880276525785
bs,29,2,3,197.57783276471073,0.0050203800201416016,0.07371666411910047,0.5397530946948009
bs,30,2,3,194.4350791395421,0.005596637725830078,0.07421854196110875,0.5389025698947382
bs,1,2,4,204.55072720476943,0.007992029190063477,0.07631852499807135,0.5470897205726518
bs,2,2,4,208.21863509301946,0.0050067901611328125,0.09137356810842316,0.4985900932189113
bs,3,2,4,190.4704701521997,0.00514674186706543,0.09887281923188927,0.48079677218714684
bs,4,2,4,191.14392483152585,0.006195783615112305,0.0794797877613026,0.5356641860407833
bs,5,2,4,216.06017680266763,0.005131244659423828,0.06315339625101664,0.5093676894198068
bs,6,2,4,216.1804801548928,0.005213260650634766,0.0800631715427219,0.5339173441521364
bs,7,2,4,189.94736112934027,0.006167888641357422,0.11028352073363684,0.5065255519264922
bs,8,2,4,191.07590114925534,0.003995656967163086,0.09018301575229161,0.556463066677326
bs,9,2,4,219.7726097583591,0.00735783576965332,0.07674474180830615,0.5500804537206785
bs,10,2,4,225.95796069180656,0.005206108093261719,0.11122603502717075,0.5127397194175292
bs,11,2,4,210.9312684264711,0.005000591278076172,0.0738404619134309,0.5260734895464437
bs,12,2,4,206.45338456901112,0.01116180419921875,0.12725162550788233,0.3851720508939225
bs,13,2,4,217.61663539352867,0.006589412689208984,0.07400706305717841,0.5384932029133597
bs,14,2,4,205.9441671910132,0.004261970520019531,0.10682097823547489,0.4696459077351313
bs,15,2,4,211.4095551293744,0.0041656494140625,0.07605988411071737,0.5482923924398303
bs,16,2,4,233.0986915450192,0.004997730255126953,0.14658101200838047,0.4179213837146503
bs,17,2,4,217.21418001594648,0.005135536193847656,0.06631529800087661,0.5116023958529119
