algorithm,test-number,p,search-depth,max-radius,run-time,rand-index,silhouette-coefficient
ff,1,2,None,32.619,0.007009267807006836,0.5731602518848529,0.35207769460645766
ff,2,2,None,33.211,0.005148887634277344,0.2632111394674745,0.23036143646355509
ff,3,2,None,33.347,0.004853725433349609,0.47017152072754664,0.32629510870556794
ff,4,2,None,32.879,0.00716090202331543,0.39400478951072165,0.28829967745880264
ff,5,2,None,32.879,0.0050199031829833984,0.5414971905768727,0.3312402169200063
ff,6,2,None,32.879,0.0052525997161865234,0.5307563933489254,0.32410752093512735
ff,7,2,None,32.985,0.0049991607666015625,0.3223822197574155,0.28043340872841693
ff,8,2,None,36.647,0.00500035285949707,0.11500663990937396,0.15623970302818943
ff,9,2,None,32.985,0.005227565765380859,0.23511317906603962,0.23775702318973208
ff,10,2,None,32.985,0.005991220474243164,0.29716733571362924,0.2657858842965467
ff,11,2,None,35.833,0.006003618240356445,0.6759844323023639,0.3985312612909365
ff,12,2,None,34.293,0.006211519241333008,0.5197661749096045,0.3300892821857651
ff,13,2,None,34.103,0.006120204925537109,0.45358313256284694,0.32090330771945674
ff,14,2,None,33.466,0.005288600921630859,0.43588448758143467,0.3067575744727333
ff,15,2,None,33.136,0.009006023406982422,0.5651387714916669,0.36839418412862485
ff,16,2,None,33.912,0.009131669998168945,0.6439279819213757,0.38543080681680525
ff,17,2,None,36.932,0.006005764007568359,0.20277965176613766,0.22975342614877578
ff,18,2,None,33.03,0.00899505615234375,0.48034793637422246,0.3283416013066277
ff,19,2,None,31.305,0.006003618240356445,0.3775679207458835,0.2771764502532886
ff,20,2,None,36.332,0.0061495304107666016,0.3162401644843415,0.25432095879334066
ff,21,2,None,33.466,0.006142616271972656,0.3790573102161358,0.28904235122099403
ff,22,2,None,33.466,0.0061092376708984375,0.4202760358146662,0.3022353692123991
ff,23,2,None,35.256,0.007577657699584961,0.4180781943460713,0.3058063821707008
ff,24,2,None,37.868,0.007171154022216797,0.14051098042809282,0.17008947578427164
ff,25,2,None,33.347,0.005001544952392578,0.369261177401881,0.28572307443251577
ff,26,2,None,33.466,0.00499415397644043,0.5427789718932399,0.3269830473756463
ff,27,2,None,32.985,0.005989789962768555,0.4163208256183911,0.3046562150510689
ff,28,2,None,31.89,0.00500035285949707,0.6852776608250413,0.3985613921538554
ff,29,2,None,33.136,0.006021738052368164,0.6219818477828638,0.38306977627359207
ff,30,2,None,31.953,0.0060405731201171875,0.45189530994561145,0.28809117270786333
bs,1,2,2,29.58,0.017319679260253906,0.5932754378900714,0.348432269148092
bs,2,2,2,34.0,0.012899160385131836,0.16193094765505334,0.1693767052633897
bs,3,2,2,31.828,0.01722240447998047,0.3754414401211436,0.21424596407627047
bs,4,2,2,33.63,0.012000083923339844,0.3727786646766337,0.24711502372602737
bs,5,2,2,27.749,0.014004945755004883,0.6728920857247497,0.3967378690378937
bs,6,2,2,33.779,0.015132665634155273,0.5368312230750578,0.29805200880663196
bs,7,2,2,32.404,0.012403726577758789,0.6245891394028846,0.3810464308555364
bs,8,2,2,28.531,0.020031213760375977,0.5728131791190011,0.3401317291317165
bs,9,2,2,29.034,0.013974428176879883,0.6083789134103411,0.3685017691115864
bs,10,2,2,28.125,0.015215396881103516,0.5584218828944417,0.35183957919294995
bs,11,2,2,31.67,0.018201828002929688,0.5848950947269257,0.3426608878433446
bs,12,2,2,33.226,0.01264643669128418,0.25584373271175775,0.2116537719909142
bs,13,2,2,34.073,0.02125263214111328,0.5859827706111664,0.3445626783747158
bs,14,2,2,34.161,0.017108917236328125,0.31528956891191484,0.2673419917434669
bs,15,2,2,32.047,0.017620563507080078,0.5061431196903123,0.3149155289376671
