algorithm,test-number,p,search-depth,max-radius,run-time,rand-index,silhouette-coefficient
ff,1,2,None,1.598,0.14314961433410645,0.2623668670996376,0.22374473291356134
ff,2,2,None,1.669,1.4395511150360107,0.3550199190333278,0.13451949619882347
ff,3,2,None,1.556,1.0112695693969727,0.06598487153592798,0.16743340776409188
ff,4,2,None,1.599,0.47707557678222656,0.31684608028588745,0.24708824273806534
ff,5,2,None,1.598,0.1580958366394043,0.08347455066439477,0.0988400052975367
ff,6,2,None,1.524,0.3265361785888672,0.06432121980538055,0.1631761382573307
ff,7,2,None,1.621,0.6739187240600586,0.47487678488126017,0.24602528473981006
ff,8,2,None,1.524,0.18086814880371094,0.06564718469976723,0.17233568240868638
ff,9,2,None,1.621,0.546471118927002,0.08590295033285865,-0.055416835810089646
ff,10,2,None,1.598,0.36723947525024414,0.44767063174511645,0.1619762479203924
ff,11,2,None,1.636,0.7788281440734863,0.7430030561351791,0.26432206256364543
ff,12,2,None,1.625,0.2616243362426758,0.16755371836519187,0.1314948071787862
ff,13,2,None,1.602,0.21653413772583008,0.026600186453172806,0.001707406751440869
ff,14,2,None,1.609,0.15094804763793945,0.1297624261409414,0.1830963712795721
ff,15,2,None,1.621,0.18162822723388672,0.03329522308816091,0.003586647035909531
ff,16,2,None,1.524,0.22796106338500977,0.05381006193731157,0.16896429204901706
ff,17,2,None,1.602,0.5182251930236816,0.6401310443256619,0.24475337688027765
ff,18,2,None,1.55,0.2523314952850342,0.49208509317229776,0.2941899479168354
ff,19,2,None,1.61,0.1918940544128418,0.32200235412763095,0.2510499048423264
ff,20,2,None,1.524,0.20040464401245117,0.05783667303666881,0.18341088632912877
ff,21,2,None,1.67,0.2696504592895508,0.38455731274259936,0.1647903625323581
ff,22,2,None,1.602,0.20851445198059082,0.2615111726373769,0.24074716169079766
ff,23,2,None,1.588,0.17679262161254883,0.12077161598483391,-0.026249189956024436
ff,24,2,None,1.599,0.47794079780578613,0.23802840255890373,0.21814349431367935
ff,25,2,None,1.598,0.4706423282623291,0.1104273845649189,0.08664056852496159
ff,26,2,None,1.54,0.5599579811096191,0.44765543002650215,0.27201970097493416
ff,27,2,None,1.643,0.24346065521240234,0.31516233259396587,0.255684493227635
ff,28,2,None,1.598,0.22229576110839844,0.13381784645022157,0.15907096298916917
ff,29,2,None,1.639,0.2674679756164551,0.2407865924489085,0.2017663588344594
ff,30,2,None,1.587,0.16560649871826172,0.12669339954512396,0.21372565127495685
bs,1,2,2,1.662,0.5153520107269287,0.12669339954512396,0.21372565127495685
bs,2,2,2,1.649,0.47493982315063477,0.12669339954512396,0.21372565127495685
bs,3,2,2,1.65,0.24080300331115723,0.12669339954512396,0.21372565127495685
bs,4,2,2,1.592,0.21952033042907715,0.12669339954512396,0.21372565127495685
bs,5,2,2,1.595,0.2977874279022217,0.12669339954512396,0.21372565127495685
bs,6,2,2,1.657,0.43216443061828613,0.12669339954512396,0.21372565127495685
bs,7,2,2,1.598,0.4790172576904297,0.12669339954512396,0.21372565127495685
bs,8,2,2,1.558,0.28400158882141113,0.12669339954512396,0.21372565127495685
bs,9,2,2,1.615,0.2800629138946533,0.12669339954512396,0.21372565127495685
bs,10,2,2,1.631,0.56412672996521,0.12669339954512396,0.21372565127495685
bs,11,2,2,1.551,0.23024415969848633,0.12669339954512396,0.21372565127495685
bs,12,2,2,1.647,0.4015655517578125,0.12669339954512396,0.21372565127495685
bs,13,2,2,1.622,0.19700050354003906,0.12669339954512396,0.21372565127495685
bs,14,2,2,1.664,0.33376026153564453,0.12669339954512396,0.21372565127495685
bs,15,2,2,1.622,0.3894925117492676,0.12669339954512396,0.21372565127495685
bs,16,2,2,1.632,0.40262699127197266,0.12669339954512396,0.21372565127495685
bs,17,2,2,1.65,0.3632643222808838,0.12669339954512396,0.21372565127495685
bs,18,2,2,1.628,0.46515369415283203,0.12669339954512396,0.21372565127495685
bs,19,2,2,1.65,0.30511474609375,0.12669339954512396,0.21372565127495685
bs,20,2,2,1.65,0.25711941719055176,0.12669339954512396,0.21372565127495685
bs,21,2,2,1.644,0.3677675724029541,0.12669339954512396,0.21372565127495685
bs,22,2,2,1.615,0.36461806297302246,0.12669339954512396,0.21372565127495685
bs,23,2,2,1.648,0.45758795738220215,0.12669339954512396,0.21372565127495685
bs,24,2,2,1.664,0.20362544059753418,0.12669339954512396,0.21372565127495685
bs,25,2,2,1.647,0.21967029571533203,0.12669339954512396,0.21372565127495685
bs,26,2,2,1.621,0.15729308128356934,0.12669339954512396,0.21372565127495685
bs,27,2,2,1.639,0.1543886661529541,0.12669339954512396,0.21372565127495685
bs,28,2,2,1.567,0.2225179672241211,0.12669339954512396,0.21372565127495685
bs,29,2,2,1.593,0.1929175853729248,0.12669339954512396,0.21372565127495685
bs,30,2,2,1.598,0.1208491325378418,0.12669339954512396,0.21372565127495685
bs,1,2,3,1.568,0.3115527629852295,0.12669339954512396,0.21372565127495685
bs,2,2,3,1.662,0.1890578269958496,0.12669339954512396,0.21372565127495685
bs,3,2,3,1.608,0.22565889358520508,0.12669339954512396,0.21372565127495685
bs,4,2,3,1.65,0.2057056427001953,0.12669339954512396,0.21372565127495685
bs,5,2,3,1.622,0.19150018692016602,0.12669339954512396,0.21372565127495685
bs,6,2,3,1.615,0.20210933685302734,0.12669339954512396,0.21372565127495685
bs,7,2,3,1.649,0.2182300090789795,0.12669339954512396,0.21372565127495685
bs,8,2,3,1.629,0.2164604663848877,0.12669339954512396,0.21372565127495685
bs,9,2,3,1.586,0.31905293464660645,0.12669339954512396,0.21372565127495685
bs,10,2,3,1.664,0.16130423545837402,0.12669339954512396,0.21372565127495685
bs,11,2,3,1.626,0.2314741611480713,0.12669339954512396,0.21372565127495685
bs,12,2,3,1.598,0.2854785919189453,0.12669339954512396,0.21372565127495685
bs,13,2,3,1.664,0.18834948539733887,0.12669339954512396,0.21372565127495685
bs,14,2,3,1.593,0.20322775840759277,0.12669339954512396,0.21372565127495685
bs,15,2,3,1.646,0.23009943962097168,0.12669339954512396,0.21372565127495685
bs,16,2,3,1.635,0.18414831161499023,0.12669339954512396,0.21372565127495685
bs,17,2,3,1.453,0.2977321147918701,0.12669339954512396,0.21372565127495685
bs,18,2,3,1.65,0.1461167335510254,0.12669339954512396,0.21372565127495685
bs,19,2,3,1.619,0.2319631576538086,0.12669339954512396,0.21372565127495685
bs,20,2,3,1.437,0.2693006992340088,0.12669339954512396,0.21372565127495685
bs,21,2,3,1.602,0.23427724838256836,0.12669339954512396,0.21372565127495685
bs,22,2,3,1.543,0.1957247257232666,0.12669339954512396,0.21372565127495685
bs,23,2,3,1.664,0.18506646156311035,0.12669339954512396,0.21372565127495685
bs,24,2,3,1.661,0.13891053199768066,0.12669339954512396,0.21372565127495685
bs,25,2,3,1.65,0.13370323181152344,0.12669339954512396,0.21372565127495685
bs,26,2,3,1.662,0.2954683303833008,0.12669339954512396,0.21372565127495685
bs,27,2,3,1.664,0.1830434799194336,0.12669339954512396,0.21372565127495685
bs,28,2,3,1.558,0.16602587699890137,0.12669339954512396,0.21372565127495685
bs,29,2,3,1.568,0.26070165634155273,0.12669339954512396,0.21372565127495685
bs,30,2,3,1.663,0.20975160598754883,0.12669339954512396,0.21372565127495685
bs,1,2,4,1.559,0.23864388465881348,0.12669339954512396,0.21372565127495685
bs,2,2,4,1.509,0.2842121124267578,0.12669339954512396,0.21372565127495685
bs,3,2,4,1.521,0.24106192588806152,0.12669339954512396,0.21372565127495685
