algorithm,test-number,p,search-depth,max-radius,run-time,rand-index,silhouette-coefficient
ff,1,2,None,4.208,0.00699162483215332,0.06726845206610516,0.1773800538819367
ff,2,2,None,3.972,0.005226850509643555,0.04209681563070812,0.13793548728449453
ff,3,2,None,4.039,0.006617307662963867,0.09925179180330425,0.17691804235035583
ff,4,2,None,3.834,0.007063388824462891,0.10139217003537532,0.13665126182588144
ff,5,2,None,3.913,0.006213188171386719,0.025288184855523064,0.1312315649200157
ff,6,2,None,4.231,0.006018400192260742,0.0809741581526554,0.13462371738649256
ff,7,2,None,4.208,0.005182743072509766,0.06676127234471946,0.17608397476080012
ff,8,2,None,4.156,0.006052494049072266,0.03543020687334471,0.135994996370896
ff,9,2,None,3.884,0.004916191101074219,0.07461180529577706,0.16108814921096395
ff,10,2,None,3.947,0.005000591278076172,0.03582217507529292,0.10582043050368237
ff,11,2,None,3.899,0.00614619255065918,0.07150883765648884,0.16482499566429512
ff,12,2,None,3.834,0.006049156188964844,0.1088672737104467,0.14163617724279687
ff,13,2,None,4.173,0.005689144134521484,0.0758102574770761,0.1886195967619933
ff,14,2,None,4.203,0.005040645599365234,0.011727136750037505,0.11663676992282124
ff,15,2,None,3.879,0.008040189743041992,0.03320133934282208,0.12794283727464886
ff,16,2,None,4.208,0.007584571838378906,0.0949494072934081,0.1302799311501384
ff,17,2,None,3.851,0.007241725921630859,0.06120888214780956,0.1626676622196994
ff,18,2,None,3.834,0.007694244384765625,0.10663818524139938,0.15459073047592375
ff,19,2,None,4.084,0.006085395812988281,0.015534819093579658,0.13308872824890292
ff,20,2,None,4.208,0.006697654724121094,0.08692862602351498,0.169716512494694
ff,21,2,None,3.834,0.0072727203369140625,0.11350504539651761,0.14493487770315358
ff,22,2,None,4.168,0.0062329769134521484,0.10986333136370116,0.18600304639899531
ff,23,2,None,3.796,0.005084991455078125,0.07416014352140436,0.14520960885561365
ff,24,2,None,3.786,0.0057277679443359375,0.017624844686139143,0.13126595948573178
ff,25,2,None,3.928,0.006266355514526367,0.06303922763558892,0.17375533009710617
ff,26,2,None,3.801,0.006026506423950195,0.08416123814335755,0.17325870726119438
ff,27,2,None,3.791,0.008931875228881836,0.0543912045588656,0.15386336343054563
ff,28,2,None,3.987,0.005702972412109375,0.05325265072914429,0.15441420631532868
ff,29,2,None,4.208,0.005163908004760742,0.052408217356021004,0.1681508486640303
ff,30,2,None,4.208,0.006014585494995117,0.07699791094819605,0.15398671731425218
bs,1,2,2,4.863,0.005967855453491211,0.07974774113328545,0.17205279145860589
bs,2,2,2,4.937,0.004002571105957031,0.008466250585110564,0.17689655724624656
bs,3,2,2,5.011,0.004204750061035156,0.003739228387168906,0.20449944013144203
bs,4,2,2,5.013,0.006064414978027344,0.0036737974733436966,0.256448699140382
bs,5,2,2,5.015,0.0039997100830078125,0.007779445295868401,0.17592951951820404
bs,6,2,2,4.598,0.004999637603759766,0.039447744997936254,0.21281023851475797
bs,7,2,2,5.058,0.004990816116333008,0.02356793463175453,0.16369986781196788
bs,8,2,2,5.082,0.004199981689453125,0.006833813419154837,0.18463743043085068
bs,9,2,2,4.999,0.003998994827270508,0.03281012774702102,0.2049918044360594
bs,10,2,2,5.154,0.003002166748046875,0.0007183318195680486,0.2628455738833387
bs,11,2,2,4.534,0.00498652458190918,0.054642150571347206,0.22483807802217012
bs,12,2,2,4.274,0.0040018558502197266,0.028895885289717517,0.17901737433330261
bs,13,2,2,4.925,0.004153728485107422,0.03901342659085055,0.16520248578750518
bs,14,2,2,4.886,0.0029990673065185547,0.014519880327033339,0.18750184147716878
bs,15,2,2,5.068,0.002992391586303711,0.003516546430379576,0.20258219028332836
bs,16,2,2,4.939,0.005170106887817383,0.014694216596070273,0.21784193882388708
bs,17,2,2,5.154,0.005187511444091797,0.005112858408434966,0.1961695591038021
bs,18,2,2,5.068,0.0031464099884033203,0.051663532692093485,0.21469425142914755
bs,19,2,2,4.944,0.003000497817993164,0.0010731804287289837,0.17829791209526152
bs,20,2,2,5.156,0.0042133331298828125,0.006387349324945162,0.16314407414444546
bs,21,2,2,4.956,0.003999233245849609,0.005023588428526205,0.16367443203131574
bs,22,2,2,5.103,0.003965139389038086,0.004987510289767195,0.2016643699741463
bs,23,2,2,4.282,0.004000186920166016,0.009843600270750954,0.1542068581198126
bs,24,2,2,5.084,0.0042417049407958984,0.0007284335647744057,0.3020169898176265
bs,25,2,2,5.065,0.003987550735473633,0.07436537618689124,0.19339737494357945
bs,26,2,2,4.375,0.004208564758300781,0.07215071821363175,0.21815578035338679
bs,27,2,2,4.85,0.004099369049072266,0.00716295207727309,0.20800486521140063
bs,28,2,2,4.243,0.004000186920166016,0.04106624529954679,0.19192381093803626
bs,29,2,2,4.803,0.004164218902587891,0.007519396389321848,0.19865623240160304
bs,30,2,2,4.898,0.004024982452392578,0.0009872468270025589,0.3050673598024013
bs,1,2,3,3.842,0.00716853141784668,0.02083368280918556,0.11693096019676764
bs,2,2,3,4.118,0.0062847137451171875,0.060174517781120665,0.21173496798234817
bs,3,2,3,3.835,0.007227182388305664,0.08328181677415852,0.20076572392251407
bs,4,2,3,4.223,0.005075216293334961,0.07834519217158394,0.21279270568343758
bs,5,2,3,3.866,0.0068645477294921875,0.0907295670279048,0.14286239749872542
bs,6,2,3,4.054,0.00402069091796875,0.10332436963044132,0.11438508428638192
bs,7,2,3,4.274,0.0050048828125,0.08624721944454575,0.18275636777105192
bs,8,2,3,4.144,0.005010128021240234,0.0369806621475314,0.19808393832850998
bs,9,2,3,4.053,0.00522160530090332,0.028668999067780854,0.1508476727936553
bs,10,2,3,4.097,0.007692813873291016,0.08841915762016961,0.19669127040209486
bs,11,2,3,4.097,0.005998849868774414,0.024144037256300283,0.1729523316274059
bs,12,2,3,3.883,0.0052106380462646484,0.02318226484998526,0.21736644262353613
bs,13,2,3,4.106,0.00538945198059082,0.017261914871365518,0.15557103186493113
bs,14,2,3,4.129,0.006672859191894531,0.05603733142305561,0.18073426715322494
bs,15,2,3,3.969,0.00500035285949707,0.016456029867249488,0.18215302297721045
bs,16,2,3,3.807,0.004743099212646484,0.05615379981689017,0.22600723876993137
bs,17,2,3,3.899,0.006574392318725586,0.02938698333502164,0.15069166542947834
bs,18,2,3,3.957,0.0048675537109375,0.01130308034225875,0.0888650115726563
bs,19,2,3,4.001,0.006229877471923828,0.017683319584472404,0.1401587059118051
bs,20,2,3,3.919,0.006085395812988281,0.05924436793897426,0.16321163071976244
bs,21,2,3,4.091,0.004247903823852539,0.01536435364284255,0.12783904561789977
bs,22,2,3,4.211,0.005053281784057617,0.12352207105442929,0.1820956033101531
bs,23,2,3,3.85,0.0060389041900634766,0.08208826343198501,0.11151474481171313
bs,24,2,3,4.243,0.006577253341674805,0.09145288087370462,0.17557629633889307
bs,25,2,3,4.211,0.005025386810302734,0.1003163145924015,0.15896464035126584
bs,26,2,3,4.173,0.005680561065673828,0.02189106010378722,0.2055201981860564
bs,27,2,3,3.982,0.007824182510375977,0.012818867435827094,0.2073336616499952
bs,28,2,3,4.183,0.013222932815551758,0.0998269316702679,0.17135399571090396
bs,29,2,3,3.881,0.006239652633666992,0.10857324569470402,0.13612198431288178
bs,30,2,3,4.164,0.0049974918365478516,0.038822552148671786,0.19115752003561653
bs,1,2,4,3.631,0.011350154876708984,0.1281565008993152,0.17560439719146917
bs,2,2,4,3.758,0.0052073001861572266,0.037276843562220136,0.18990530058585567
bs,3,2,4,3.83,0.005220174789428711,0.03362600596538107,0.16038282003989035
bs,4,2,4,3.751,0.006001710891723633,0.043056595322899446,0.14813334850639895
bs,5,2,4,3.789,0.006247043609619141,0.09817269711566158,0.15254069354088595
bs,6,2,4,3.693,0.007038593292236328,0.09264382963799277,0.18533309310081633
bs,7,2,4,3.855,0.007253885269165039,0.05704491218044864,0.13729287448948177
bs,8,2,4,3.739,0.008271217346191406,0.033348039271520954,0.16916453786031233
bs,9,2,4,4.221,0.005997896194458008,0.09129009873223501,0.10797701018073992
bs,10,2,4,3.802,0.007211208343505859,0.1291230173935491,0.15056151710959245
bs,11,2,4,4.296,0.004994869232177734,0.01117655499511171,0.1893993383807074
bs,12,2,4,3.756,0.005733013153076172,0.0886614299224001,0.22197845661969795
bs,13,2,4,4.118,0.007188320159912109,0.08702432871505286,0.21501840100683303
bs,14,2,4,3.858,0.007258176803588867,0.05643194949265227,0.14322172463625613
bs,15,2,4,3.807,0.006222724914550781,0.07034497987795434,0.22996880488403737
bs,16,2,4,3.84,0.007811784744262695,0.1290551790829585,0.18307289014331415
bs,17,2,4,4.227,0.007727622985839844,0.046302131696964136,0.1588500292641434
bs,18,2,4,3.807,0.005999565124511719,0.06506560441929014,0.09927811378472777
bs,19,2,4,3.756,0.007208824157714844,0.10129135331805023,0.13417449431176065
bs,20,2,4,3.728,0.005541801452636719,0.026755864556753443,0.20006674916552003
bs,21,2,4,3.86,0.00614619255065918,0.023187910490797752,0.20644228190366032
bs,22,2,4,3.431,0.013865232467651367,0.11524193002407603,0.1562280405811272
bs,23,2,4,3.571,0.006215095520019531,0.072509987225165,0.10839778014184928
bs,24,2,4,3.34,0.015059471130371094,0.12024510214102095,0.1451888762708039
bs,25,2,4,3.749,0.0062448978424072266,0.13128592644536458,0.18172769144159312
bs,26,2,4,3.736,0.0072057247161865234,0.0974738093831287,0.1750790817099826
bs,27,2,4,3.838,0.007094860076904297,0.07115628233320304,0.16262854449286968
bs,28,2,4,3.741,0.005834817886352539,0.06431364453044912,0.14252255586650467
bs,29,2,4,3.943,0.006822824478149414,0.07309635239212296,0.1479977519913682
bs,30,2,4,3.829,0.008239030838012695,0.13749636174680005,0.10905260071128878
bs,1,2,5,3.834,0.012243032455444336,0.05793467944067886,0.13557858715734317
bs,2,2,5,3.725,0.00836038589477539,0.12554781614684507,0.10343383268017566
bs,3,2,5,3.85,0.007207155227661133,0.05748358754274171,0.12620063613868213
bs,4,2,5,3.536,0.011182546615600586,0.0922868908330198,0.19217836319962744
bs,5,2,5,3.742,0.009186267852783203,0.09957385400571253,0.20603072243108878
bs,6,2,5,3.807,0.009068727493286133,0.09323472274272536,0.1609946631203627
bs,7,2,5,3.829,0.009243249893188477,0.10946154644350535,0.17889536845931195
bs,8,2,5,3.817,0.010221719741821289,0.11733693657221317,0.16081976696033431
bs,9,2,5,3.391,0.010013341903686523,0.048308472131061875,0.15957346395122135
bs,10,2,5,3.949,0.00822305679321289,0.02548375288332584,0.15805576491370768
bs,11,2,5,3.997,0.007300615310668945,0.06648687332969862,0.07844746502372558
bs,12,2,5,3.829,0.00702667236328125,0.057413551152179866,0.1286019580685102
bs,13,2,5,3.845,0.0072438716888427734,0.03553418312900123,0.13886188827916507
bs,14,2,5,3.807,0.011142730712890625,0.13279917741448513,0.1684144756966357
bs,15,2,5,3.632,0.008177518844604492,0.05602150972025004,0.1340588037613338
bs,16,2,5,3.637,0.012217521667480469,0.04859327368451628,0.12553990522996897
bs,17,2,5,3.633,0.008177757263183594,0.12915923650926261,0.18054023314789877
bs,18,2,5,3.809,0.00822138786315918,0.07462731535766334,0.18226135678899322
bs,19,2,5,3.807,0.008189678192138672,0.014395645938014083,0.21223973825658354
bs,20,2,5,3.652,0.009299516677856445,0.052913446064132896,0.1366261699067785
bs,21,2,5,3.526,0.007048845291137695,0.13076768520135118,0.1559861156465764
bs,22,2,5,3.579,0.008194446563720703,0.10087782797495617,0.14314790902337832
bs,23,2,5,3.516,0.00917959213256836,0.06998411101244015,0.13101387938784842
bs,24,2,5,3.632,0.010255098342895508,0.10292707343515263,0.16263515270467624
bs,25,2,5,3.694,0.01121211051940918,0.09586408222791899,0.12169994869111272
