algorithm,test-number,p,search-depth,max-radius,run-time,rand-index,silhouette-coefficient
ff,1,2,None,2385.54,0.0031833648681640625,0.17406586301622062,0.5848138276058165
ff,2,2,None,2708.131,0.003297567367553711,0.2120925993805888,0.5291180788899864
ff,3,2,None,1966.28,0.003030061721801758,0.13963497254601642,0.5563891665915065
ff,4,2,None,2443.787,0.0039997100830078125,0.18253803514964317,0.5859080729822375
ff,5,2,None,2553.607,0.0022170543670654297,0.19861492442883308,0.5866236573174176
ff,6,2,None,2298.407,0.0029990673065185547,0.17072218483328114,0.5831400116504921
ff,7,2,None,2156.294,0.003002643585205078,0.15580121424326468,0.5756598449248865
ff,8,2,None,2219.177,0.003174304962158203,0.3241253528821661,0.4898654223574782
ff,9,2,None,2519.688,0.003204822540283203,0.1931448407164856,0.5865946621012544
ff,10,2,None,2058.503,0.006273746490478516,0.17172116495651277,0.43086470469517685
ff,11,2,None,2743.785,0.003026247024536133,0.21300558036224396,0.5287874835979973
ff,12,2,None,1899.375,0.002998828887939453,0.1353379536292065,0.47748477572582043
ff,13,2,None,2207.452,0.004187583923339844,0.2682172409433371,0.5456778142808568
ff,14,2,None,2537.746,0.00418400764465332,0.2304568490605666,0.5084487284666204
ff,15,2,None,2319.581,0.0030219554901123047,0.1644593757470196,0.5453025239163545
ff,16,2,None,2721.802,0.0030434131622314453,0.21118279161910353,0.5227474155413558
ff,17,2,None,2029.606,0.00403904914855957,0.16180559331898758,0.43489898465141735
ff,18,2,None,2693.51,0.0029981136322021484,0.20891946811654258,0.5204761556786037
ff,19,2,None,2029.606,0.003999233245849609,0.16194754749434934,0.434944517176237
ff,20,2,None,2271.19,0.005085945129394531,0.16745360579619273,0.5819491693402163
ff,21,2,None,1972.946,0.0030002593994140625,0.1487849913982497,0.44509967976089854
ff,22,2,None,2621.069,0.00400090217590332,0.20797521877931024,0.5858853970118775
ff,23,2,None,1851.143,0.00399470329284668,0.14378643713022116,0.512792618483675
ff,24,2,None,2460.704,0.0042154788970947266,0.3413619376885163,0.5378444183063998
ff,25,2,None,2356.581,0.0030355453491210938,0.16996720251760977,0.5840807847658271
ff,26,2,None,1848.416,0.0030019283294677734,0.140978213878867,0.5053564361407533
ff,27,2,None,2436.757,0.004283905029296875,0.27791417283300096,0.551194670662535
ff,28,2,None,2569.425,0.0032002925872802734,0.2056796479772637,0.5050823932201505
ff,29,2,None,2087.76,0.0029993057250976562,0.14718281055492158,0.5700269514297365
ff,30,2,None,2409.941,0.004115104675292969,0.27448890984554075,0.5507431967142423
bs,1,2,2,2634.491,0.012173891067504883,0.1484248891604938,0.59393936295091
bs,2,2,2,2081.517,0.01221776008605957,0.34932978026734235,0.5368760867530411
bs,3,2,2,2755.098,0.012165069580078125,0.1607141855674144,0.6020624929074821
bs,4,2,2,1880.428,0.013247251510620117,0.19213585238794653,0.576087158607247
bs,5,2,2,1846.226,0.007730007171630859,0.15005407189579745,0.5600060410248269
bs,6,2,2,2354.74,0.00799703598022461,0.23045475616616967,0.6261182246229804
bs,7,2,2,1975.265,0.008305072784423828,0.35708206953541444,0.5692394808150985
bs,8,2,2,2425.356,0.008208751678466797,0.306316956423744,0.5833812117047817
bs,9,2,2,2050.334,0.009627819061279297,0.3191090442957477,0.5840576335173591
bs,10,2,2,1580.205,0.011303186416625977,0.1766334754173897,0.5047205460764697
bs,11,2,2,2633.756,0.008366823196411133,0.23079969504910583,0.60587540612751
bs,12,2,2,2404.416,0.00722956657409668,0.24665799388363663,0.6183891501607939
bs,13,2,2,2356.59,0.011265039443969727,0.21116858476500586,0.6137880193529608
bs,14,2,2,2196.862,0.013813257217407227,0.29197342253145847,0.6098737865048501
bs,15,2,2,1691.942,0.01222681999206543,0.1516189626233438,0.49072520014252163
bs,16,2,2,1831.643,0.010178565979003906,0.1557859780426227,0.4887763164730958
bs,17,2,2,2208.934,0.010099649429321289,0.2957835466180062,0.5925976539999023
bs,18,2,2,2511.2,0.012470006942749023,0.20698562762530578,0.4537138124245336
bs,19,2,2,2759.415,0.009008646011352539,0.29351546655356964,0.5430045374759962
bs,20,2,2,2382.355,0.010228157043457031,0.3735290384068732,0.5673562692778616
bs,21,2,2,1880.801,0.009195327758789062,0.15865674128979923,0.49833278591068964
bs,22,2,2,2746.399,0.00700068473815918,0.2193304795125515,0.5746122233154797
bs,23,2,2,2404.416,0.012842178344726562,0.2951851572818584,0.6071255435410022
bs,24,2,2,1915.07,0.008020877838134766,0.20076432457296006,0.576144785986484
bs,25,2,2,1955.259,0.008133411407470703,0.13274822393386157,0.47655511884661284
bs,26,2,2,2021.986,0.015158414840698242,0.18346780581906755,0.4890119999585224
bs,27,2,2,2242.666,0.010208606719970703,0.35768679781919266,0.5722915567683002
bs,28,2,2,2628.349,0.006215810775756836,0.21803926265187049,0.62533393169647
bs,29,2,2,2320.961,0.010200738906860352,0.2520348920692822,0.62558187010789
bs,30,2,2,2192.565,0.012078523635864258,0.2512141906167115,0.5795728598933557
bs,1,2,3,1593.752,0.014084100723266602,0.26646887356486987,0.562382449649316
bs,2,2,3,2010.397,0.01129460334777832,0.24823856350365744,0.5804296749762544
bs,3,2,3,1906.842,0.013149499893188477,0.15050685028529961,0.45917111636900787
bs,4,2,3,2029.752,0.014134645462036133,0.20192357526636043,0.5308768837467667
bs,5,2,3,2120.237,0.01347661018371582,0.2205728401695098,0.5825443463325035
bs,6,2,3,1846.557,0.015242815017700195,0.23868571726345733,0.5756014686770278
bs,7,2,3,1964.521,0.013332366943359375,0.3360543334906905,0.5443334590295349
bs,8,2,3,2229.557,0.013225555419921875,0.23962548746075116,0.5837413216414091
bs,9,2,3,1673.222,0.014357328414916992,0.2699429665263297,0.5627357783549427
bs,10,2,3,1788.298,0.016567468643188477,0.2229243786316059,0.5502523219704855
bs,11,2,3,1900.741,0.01328897476196289,0.1394212845511732,0.4980896340466174
