algorithm,test-number,p,search-depth,max-radius,run-time,rand-index,silhouette-coefficient
ff,1,2,None,264.828,0.002001047134399414,0.11665553674662893,0.440450344698774
ff,2,2,None,188.029,0.0010001659393310547,0.07998621979493774,0.5522775068644539
ff,3,2,None,211.799,0.0009999275207519531,0.0713012525434191,0.537324728627793
ff,4,2,None,201.097,0.0019981861114501953,0.10390014133345568,0.5416684014526549
ff,5,2,None,247.59,0.0021736621856689453,0.13477990838989246,0.339150582801563
ff,6,2,None,196.184,0.002000570297241211,0.07622406632060845,0.5494979967092863
ff,7,2,None,257.309,0.0019936561584472656,0.07134083897996261,0.29608240289045384
ff,8,2,None,256.033,0.0020995140075683594,0.05290974009292976,0.37331068242807885
ff,9,2,None,256.646,0.002143383026123047,0.12802337644905984,0.35855413044730694
ff,10,2,None,239.351,0.0010006427764892578,0.09805676746020907,0.4280748783046649
ff,11,2,None,258.521,0.0010116100311279297,0.1194264204987495,0.40780263905665465
ff,12,2,None,192.494,0.0019936561584472656,0.08449411728896646,0.5400322744441001
ff,13,2,None,222.324,0.002005338668823242,0.07173889102718956,0.5228191211100657
ff,14,2,None,258.101,0.002001047134399414,0.12481829725786711,0.37143052453178615
ff,15,2,None,196.184,0.001999378204345703,0.07622406632060845,0.5494979967092863
ff,16,2,None,198.215,0.0021524429321289062,0.07454240611013732,0.5477193298957516
ff,17,2,None,228.296,0.0019989013671875,0.09736881259976439,0.4317965945617
ff,18,2,None,217.214,0.002000093460083008,0.07044890520540253,0.5227056545090076
ff,19,2,None,250.364,0.0010046958923339844,0.09147312032412618,0.33555619055674235
ff,20,2,None,239.956,0.001997232437133789,0.10679311230523177,0.4254440647683352
ff,21,2,None,258.101,0.0019989013671875,0.12746960343829103,0.359733446761568
ff,22,2,None,262.097,0.0009999275207519531,0.05970185467751949,0.3592767737100071
ff,23,2,None,223.461,0.0009963512420654297,0.14737576938854866,0.4303173510466581
ff,24,2,None,199.166,0.001999378204345703,0.09699803632346718,0.5565454976745428
ff,25,2,None,192.494,0.0019996166229248047,0.08449411728896646,0.5400322744441001
ff,26,2,None,258.101,0.0009996891021728516,0.12380020204448522,0.37753086762294197
ff,27,2,None,258.521,0.0019996166229248047,0.12246401397359388,0.3882017536078747
ff,28,2,None,214.36,0.001995563507080078,0.12783898626668566,0.49465365559703534
ff,29,2,None,258.101,0.002070903778076172,0.12481829725786711,0.37143052453178615
ff,30,2,None,240.859,0.0021834373474121094,0.10778489601919213,0.407412591311728
bs,1,2,2,251.41,0.004999876022338867,0.07733257714316048,0.647798743907211
bs,2,2,2,180.848,0.004235744476318359,0.09223847521412398,0.5567198264869109
bs,3,2,2,197.122,0.005001068115234375,0.10459183476353855,0.4538672745438402
bs,4,2,2,293.672,0.002016305923461914,0.004080603784677277,0.4735495933183998
bs,5,2,2,207.572,0.005216360092163086,0.12994785583261845,0.4981043879552345
bs,6,2,2,182.022,0.003996133804321289,0.09040066351832206,0.489446286387524
bs,7,2,2,212.746,0.004008769989013672,0.07637607181151329,0.5311401375230167
bs,8,2,2,214.227,0.00501561164855957,0.08424640292384414,0.5390147422903271
bs,9,2,2,215.52,0.003093242645263672,0.10967565523422594,0.3976246171671589
bs,10,2,2,193.778,0.004172801971435547,0.08570346716749468,0.5127729002091381
bs,11,2,2,210.609,0.004042863845825195,0.11236739532885388,0.536941930573436
bs,12,2,2,191.076,0.004004955291748047,0.0903896802144731,0.5543963411980668
bs,13,2,2,207.432,0.002997159957885742,0.09710097959238163,0.4874222462270579
bs,14,2,2,275.14,0.002998828887939453,0.10045126938170405,0.6374448157058297
bs,15,2,2,243.934,0.0029985904693603516,0.07349847277162909,0.6438852286380976
bs,16,2,2,281.714,0.001995563507080078,0.09928896767305583,0.6381083816335462
bs,17,2,2,284.58,0.003017425537109375,0.10408294975372047,0.6340633456408151
bs,18,2,2,203.411,0.005191802978515625,0.11781998229572699,0.48598552225738245
bs,19,2,2,303.636,0.0031745433807373047,0.07742226141935975,0.6737914587197679
bs,20,2,2,199.387,0.0041522979736328125,0.08320005677910106,0.5384677477295505
bs,21,2,2,197.965,0.0032072067260742188,0.08976655914491213,0.5561130973646307
bs,22,2,2,236.362,0.0030226707458496094,0.13150759693768996,0.4307470470942615
bs,23,2,2,270.985,0.002213001251220703,0.14288270175861018,0.4896171857323688
bs,24,2,2,207.572,0.004254579544067383,0.11198009156404073,0.5361217905544506
bs,25,2,2,215.423,0.004217624664306641,0.08968992551090575,0.48402833439985177
bs,26,2,2,197.101,0.0050144195556640625,0.09523019259538941,0.4995581421214986
bs,27,2,2,245.159,0.0019576549530029297,0.08393432201423132,0.6475970753932788
bs,28,2,2,269.496,0.0030159950256347656,0.04308213801780491,0.6341607397621504
bs,29,2,2,312.327,0.003170490264892578,0.08364608818333447,0.672022314770587
bs,30,2,2,321.565,0.0030651092529296875,0.0645884304431762,0.6675093964658898
bs,1,2,3,187.8,0.004199028015136719,0.09511484875997783,0.4962848172246575
bs,2,2,3,199.03,0.005023479461669922,0.08838028547135923,0.5010884962620835
bs,3,2,3,246.014,0.0029990673065185547,0.06474116778250046,0.6375333055167013
bs,4,2,3,185.219,0.0039997100830078125,0.08878415287398475,0.5016979705322098
bs,5,2,3,209.921,0.005374908447265625,0.07903377972159001,0.5496843725747588
bs,6,2,3,235.996,0.0036983489990234375,0.10501281065263732,0.403143971171999
bs,7,2,3,180.724,0.005133152008056641,0.10955667922627206,0.5018506402589995
bs,8,2,3,244.428,0.004168033599853516,0.09757209377309387,0.4967768289140793
bs,9,2,3,273.878,0.0032651424407958984,0.1354335817025757,0.5809036586065597
bs,10,2,3,200.754,0.004998445510864258,0.08759936373542168,0.5552017322920275
bs,11,2,3,201.591,0.005047798156738281,0.08813220430753314,0.5418953680376224
bs,12,2,3,252.83,0.0029969215393066406,0.10886602509350832,0.4061386702006869
bs,13,2,3,261.576,0.004171133041381836,0.06908403356733632,0.30411947330153183
bs,14,2,3,200.91,0.004000186920166016,0.0727112322173972,0.5419413412752375
bs,15,2,3,184.307,0.005255699157714844,0.09566922161458388,0.5022288498842474
bs,16,2,3,263.841,0.004193305969238281,0.0698972480203378,0.6400739194417954
bs,17,2,3,174.032,0.005216121673583984,0.09195573143473937,0.5425988463674757
bs,18,2,3,200.345,0.004000663757324219,0.07744581829267774,0.5489167141289644
bs,19,2,3,212.207,0.003995180130004883,0.10952883606895736,0.512897777711045
bs,20,2,3,176.037,0.005454301834106445,0.09722476204961411,0.5569092429878004
