algorithm,test-number,p,search-depth,max-radius,run-time,rand-index,silhouette-coefficient
ff,1,2,None,33.466,0.008253335952758789,0.3348418420068313,0.27468197684476375
ff,2,2,None,32.985,0.005214214324951172,0.29716733571362924,0.2657858842965467
ff,3,2,None,37.081,0.0071294307708740234,0.6377348715164024,0.384274664753435
ff,4,2,None,34.728,0.005223989486694336,0.358514858307108,0.293013005376046
ff,5,2,None,32.249,0.0052602291107177734,0.6779211861040024,0.396092690276458
ff,6,2,None,37.43,0.0052034854888916016,0.5210619344044097,0.34303800744236707
ff,7,2,None,36.783,0.005072355270385742,0.12168533709293423,0.15925084557714292
ff,8,2,None,32.985,0.006219387054443359,0.3199065747604141,0.2790881829912542
ff,9,2,None,35.043,0.005262613296508789,0.5679230546144612,0.34531638412954574
ff,10,2,None,35.651,0.004997968673706055,0.6020751832114307,0.3705321327381785
ff,11,2,None,36.905,0.0050008296966552734,0.13910656381235784,0.1688460073773917
ff,12,2,None,29.917,0.004701375961303711,0.353178156378376,0.2521468195634138
ff,13,2,None,30.414,0.004999637603759766,0.4962018123727196,0.3217254577539193
ff,14,2,None,34.073,0.006350040435791016,0.1816616731694955,0.20529313235936344
ff,15,2,None,35.944,0.006016254425048828,0.6610053599586211,0.3907420136766216
ff,16,2,None,31.969,0.005264759063720703,0.6757118711406381,0.39574928577878815
ff,17,2,None,34.293,0.013996362686157227,0.49382966117087534,0.3225909591849685
ff,18,2,None,33.257,0.00699305534362793,0.29680707574612747,0.24123416488475552
ff,19,2,None,35.256,0.00654292106628418,0.4498689108270039,0.31069576959694034
ff,20,2,None,33.03,0.00600433349609375,0.4967235162758911,0.33976289754333844
ff,21,2,None,34.871,0.004991292953491211,0.6355012696826574,0.3854132161078172
ff,22,2,None,33.03,0.006201505661010742,0.3582761118029432,0.2896163223383794
ff,23,2,None,32.558,0.005996227264404297,0.43579203435800734,0.3175998996757982
ff,24,2,None,32.985,0.00499725341796875,0.3249416183817024,0.2814542280691611
ff,25,2,None,36.111,0.005007743835449219,0.6424076857301383,0.3829272384004232
ff,26,2,None,31.639,0.005140542984008789,0.5693158187420186,0.344420455317646
ff,27,2,None,32.879,0.005002498626708984,0.31019997917033276,0.24631397781192713
ff,28,2,None,35.412,0.006247043609619141,0.17527214355308127,0.19209428246449078
ff,29,2,None,35.986,0.006020784378051758,0.17866504684883305,0.21231547153808306
ff,30,2,None,33.302,0.005015373229980469,0.24673758348150424,0.2399671265715488
bs,1,2,2,30.854,0.018798351287841797,0.24673758348150424,0.2399671265715488
bs,2,2,2,32.373,0.013999223709106445,0.24673758348150424,0.2399671265715488
bs,3,2,2,33.749,0.011996746063232422,0.24673758348150424,0.2399671265715488
bs,4,2,2,30.708,0.017001867294311523,0.24673758348150424,0.2399671265715488
bs,5,2,2,28.879,0.017798900604248047,0.24673758348150424,0.2399671265715488
bs,6,2,2,33.136,0.016994237899780273,0.24673758348150424,0.2399671265715488
bs,7,2,2,31.016,0.02019190788269043,0.24673758348150424,0.2399671265715488
bs,8,2,2,33.332,0.026447057723999023,0.24673758348150424,0.2399671265715488
bs,9,2,2,30.545,0.016043901443481445,0.24673758348150424,0.2399671265715488
bs,10,2,2,44.057,0.015137672424316406,0.24673758348150424,0.2399671265715488
bs,11,2,2,28.705,0.015448570251464844,0.24673758348150424,0.2399671265715488
bs,12,2,2,30.627,0.019107341766357422,0.24673758348150424,0.2399671265715488
bs,13,2,2,39.038,0.014028787612915039,0.24673758348150424,0.2399671265715488
bs,14,2,2,28.425,0.018572568893432617,0.24673758348150424,0.2399671265715488
bs,15,2,2,33.853,0.016726970672607422,0.24673758348150424,0.2399671265715488
bs,16,2,2,30.282,0.012260913848876953,0.24673758348150424,0.2399671265715488
bs,17,2,2,33.045,0.012244939804077148,0.24673758348150424,0.2399671265715488
bs,18,2,2,28.337,0.02799081802368164,0.24673758348150424,0.2399671265715488
