algorithm,test-number,p,search-depth,max-radius,run-time,rand-index,silhouette-coefficient
ff,1,2,None,0.585,0.020091772079467773,0.03376094433503698,0.1275361762967653
ff,2,2,None,0.554,0.018175125122070312,0.08958390717889204,0.18589420397900688
ff,3,2,None,0.561,0.017424583435058594,0.12754945683179816,0.1776131159492238
ff,4,2,None,0.568,0.023991823196411133,0.0228322090725886,0.17105334119891877
ff,5,2,None,0.544,0.023246049880981445,0.09648222569541948,0.14182344042381825
ff,6,2,None,0.569,0.01626420021057129,0.08003897246469079,0.25881939869406434
ff,7,2,None,0.591,0.011996269226074219,0.06593641154205708,0.21138859709144178
ff,8,2,None,0.585,0.01900029182434082,0.13567371370526998,0.21514935524275236
ff,9,2,None,0.586,0.020146846771240234,-0.006117313631509044,0.11672627944199433
ff,10,2,None,0.561,0.01299595832824707,0.12754945683179816,0.1776131159492238
ff,11,2,None,0.568,0.017330169677734375,0.0228322090725886,0.17105334119891877
ff,12,2,None,0.591,0.020223379135131836,0.042423033995604285,0.21821721232951988
ff,13,2,None,0.607,0.020263671875,-0.0028524857244667345,0.13076023058082695
ff,14,2,None,0.568,0.017113685607910156,0.014902594903406006,0.10301865237843669
ff,15,2,None,0.568,0.021976947784423828,0.05617835116293067,0.21619517583900016
ff,16,2,None,0.585,0.01988506317138672,0.020776290025232777,0.1669049342744866
ff,17,2,None,0.587,0.016186952590942383,0.0883633704020683,0.2482068514242153
ff,18,2,None,0.586,0.016305208206176758,-0.005334187507933299,0.14564009495458394
ff,19,2,None,0.562,0.013058662414550781,0.12343160148940145,0.19669373609496602
ff,20,2,None,0.572,0.031854867935180664,0.01575022329323396,0.11390799212235068
ff,21,2,None,0.568,0.018216371536254883,-0.012200718771065914,0.11377484419349687
ff,22,2,None,0.579,0.017461299896240234,0.13079521451763088,0.22306429272088968
ff,23,2,None,0.587,0.020489931106567383,0.015865921656299894,0.1612912475148233
ff,24,2,None,0.591,0.01799607276916504,0.03934716922749228,0.21590785739953847
ff,25,2,None,0.591,0.016130685806274414,0.053082054218011994,0.217951958375574
ff,26,2,None,0.585,0.019546985626220703,-0.00404370088326243,0.14638113308776093
ff,27,2,None,0.568,0.021001100540161133,-0.013519601004589805,0.12148420956165731
ff,28,2,None,0.591,0.022992610931396484,0.120180270026587,0.2333316954964506
ff,29,2,None,0.591,0.022287845611572266,0.030925674165289425,0.20644739167019757
ff,30,2,None,0.578,0.016184091567993164,0.1409893220773419,0.1774402780590202
bs,1,2,2,0.574,0.012025117874145508,0.1409893220773419,0.1774402780590202
bs,2,2,2,0.667,0.008289098739624023,0.1409893220773419,0.1774402780590202
bs,3,2,2,0.672,0.008066892623901367,0.1409893220773419,0.1774402780590202
bs,4,2,2,0.686,0.01016998291015625,0.1409893220773419,0.1774402780590202
bs,5,2,2,0.68,0.008257865905761719,0.1409893220773419,0.1774402780590202
bs,6,2,2,0.635,0.013262748718261719,0.1409893220773419,0.1774402780590202
bs,7,2,2,0.676,0.014093160629272461,0.1409893220773419,0.1774402780590202
bs,8,2,2,0.653,0.009000301361083984,0.1409893220773419,0.1774402780590202
bs,9,2,2,0.512,0.013989686965942383,0.1409893220773419,0.1774402780590202
